"","LabCode","SampleID","CombineGroup","Region","SiteID","Site_Name_JP","Site_Address_JP","Context_JP","MaterialType_JP","MaterialType_En","PotteryPhase_JP","Phase","Phase_Details","PhaseAnalysis","CRA","Error","Delta13C","Delta13CError","Source"
"1","MTC-5393","HDMNB-1 a",NA,"Hokkaido",376,"生渕2遺跡","北海道北檜山町","K-9-a区V層中位","土器付着物","Ceramic Organic Residue","上ノ国式（大洞B-C式併行）","B2","","B2",3025,45,"-24.8","","坂本　稔・新免歳靖・今村峯雄・松崎浩之 2005「北檜山町生渕２遺跡出土土器に付着した炭化物の炭素14年代測定」『北檜山町生渕２遺跡』北海道埋蔵文化財センター調査報告書第214集，(財)北海道埋蔵文化財センター"
"2","BETA-198869","HDMTK-171 b",NA,"Hokkaido",197,"対雁2遺跡","北海道江別市","土器集中1","土器付着物","Ceramic Organic Residue","大洞A’式併行在地系","B6","","B6",2620,40,"-24.9","",""
"3","MTC-5383","AKT0400-N13",NA,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,ST37捨場","土器付着物","Ceramic Organic Residue","大洞C2式","B4","","B4",2595,35,"-26.4","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"4","MTC-5384","AKT0400-N20",NA,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,No51,ST37捨場","土器付着物","Ceramic Organic Residue","大洞A式","B5","","B5",2495,35,"-27.4","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"5","BETA-198874","AKT0400-N24",NA,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,NN54,遺構外","土器付着物","Ceramic Organic Residue","大洞A式","B5","","B5",2490,40,"-26.3","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"6","MTC-5386","AKT0400-N31",NA,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,NH54","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2870,40,"-39.4","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"7","MTC-5387","AKT0400-N41",NA,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,NS51,ST37捨場","土器付着物","Ceramic Organic Residue","大洞B-C2式","B2","","B2",2905,35,"-55.3","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"8","IAAA-41124","AKT0400-T10",NA,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,NP51,Ⅱb層,ST37捨場","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2820,40,"-27.19","0.54","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"9","IAAA-41125","AKT0400-T13",0,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,P54,Ⅲ層,ST37捨場","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2860,40,"-27.98","0.62","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
"10","MTC-5389","AKT0400-T13",0,"Tohoku",54,"中屋敷Ⅱ遺跡","秋田県千畑町土崎字中屋敷180-1","2次調査,NP54Ⅲ層","土器付着物","Ceramic Organic Residue","大洞C1式","B3","","B3",2810,35,"-30.4","","小林謙一・坂本　稔・尾嵜大真・新免歳靖・松崎浩之・石澤宏樹2005「中屋敷Ⅱ遺跡第2次調査出土土器付着物の14C年代測定」『中屋敷Ⅱ遺跡』秋田県文化財調査報告書第384集 秋田県教育委員"
