項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,8808,14：神奈川県,伝福寺裏遺跡,横須賀市久里浜,Ⅱ層,ハマグリ,M,n,不明,----,ABCDEFGH,Gak-11458,β線法,5110,150,----,----,----,----,----,蟹江康光(横須賀市自然博物館),学習院大学理学部年代測定室,1988,伝福寺裏遺跡の地質と堆積物の14C年代,111-113,----,横須賀市文化財調査報告書第16集　伝福寺裏遺跡,横須賀市教育委員会
2,8280,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位1b,貝(ミガキボラ),M,n,縄文時代,----,B,Gak-17513,β線法,4630,80,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
3,8282,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位2b,貝(レイシガイ),M,n,縄文時代,----,B,Gak-17515,β線法,6660,100,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
4,8281,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位2a,貝(マガキ),M,n,縄文時代,----,B,Gak-17514,β線法,7820,120,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
5,8284,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位4e,貝(マガキ),M,n,縄文時代,----,B,Gak-17517,β線法,7690,120,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
6,8287,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位5h,貝(マガキ),M,n,縄文時代,----,B,Gak-17520,β線法,7580,100,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
7,8286,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位5d,貝(マガキ),M,n,縄文時代,----,B,Gak-17519,β線法,6640,100,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
8,8285,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位5a,貝(マガキ),M,n,縄文時代,----,B,Gak-17518,β線法,7230,130,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
9,8283,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位4b,貝(マガキ),M,n,縄文時代,----,B,Gak-17516,β線法,7870,110,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
10,8279,14：神奈川県,吉井貝塚を中心とした遺跡,横須賀市吉井字下吉井,層位1a,貝(アカニシ),M,n,縄文時代,----,B,Gak-17512,β線法,3690,90,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1995,吉井貝塚を中心とした遺跡採取試料の14C年代測定,83,----,神奈川県指定史跡　吉井貝塚を中心とした遺跡史跡整備報告書,横須賀市教育委員会
