項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,3304,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅰ区集石2№21,炭化材クリ,T,f,縄文時代中期,勝坂3式,B,MTC-04903,AMS法,4410,40,----,----,-26,----,----,学術創成研究グループ,東京大学タンデム加速器研究施設,2009,地域別測定データ,139-524,SFC-08,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
2,3305,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅱ区2住居跡炭135,炭化材クリ,T,f,縄文時代中期,勝坂3b式,B,MTC-04904,AMS法,4345,40,----,----,-27.2,----,----,学術創成研究グループ,東京大学タンデム加速器研究施設,2009,地域別測定データ,139-524,SFC-19,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
3,3307,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅰ区集石10,炭化材,T,f,縄文時代早期,入海～上ノ山式,B,MTC-04906,AMS法,6220,40,----,----,-27.4,----,----,学術創成研究グループ,東京大学タンデム加速器研究施設,2009,地域別測定データ,139-524,SFC-32,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
4,3306,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅰ区集石4SS4,炭化材,T,f,縄文時代中期,勝坂3式,B,MTC-04905,AMS法,4440,40,----,----,-26.4,----,----,学術創成研究グループ,東京大学タンデム加速器研究施設,2009,地域別測定データ,139-524,SFC-30,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
5,4435,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅰ区6住居跡炭化物集中,炭化材クリ,T,f,縄文時代中期,加曽利E2式,B,Beta-157913,AMS法,4230,40,----,----,-25.3,----,-25.3,学術創成研究グループ,Beta Analytic Inc,2009,地域別測定データ,139-524,SFC-05,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
6,4434,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅰ区3住居跡炭化物集中,炭化材クリ,T,f,縄文時代中期,勝坂3a式,B,Beta-157912,AMS法,4490,40,----,----,-25.9,----,-25.9,学術創成研究グループ,Beta Analytic Inc,2009,地域別測定データ,139-524,SFC-04,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
7,4433,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅰ区2住居跡炭C1,炭化材,T,f,縄文時代中期,勝坂3a式,B,Beta-157911,AMS法,4460,40,----,----,-26.2,----,-26.2,学術創成研究グループ,Beta Analytic Inc,2009,地域別測定データ,139-524,SFC-02,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
8,4432,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅰ区1住居跡炉,炭化材,T,f,縄文時代中期,勝坂3a式,B,Beta-157910,AMS法,4450,40,----,----,-25.9,----,-25.9,学術創成研究グループ,Beta Analytic Inc,2009,地域別測定データ,139-524,SFC-01,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
9,4442,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅰ区集石11,炭化材クリ?,T,f,縄文時代早期,入海～上ノ山式,B,Beta-157919,AMS法,6230,40,----,----,-25.2,----,-25.2,学術創成研究グループ,Beta Analytic Inc,2009,地域別測定データ,139-524,SFC-13,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
10,4447,14：神奈川県,SFC（湘南藤沢キャンパス内）遺跡,藤沢市遠藤,Ⅱ区2住居跡炭No139,炭化材クリ?,T,f,縄文時代中期,勝坂3b式,B,Beta-157923,AMS法,4340,40,----,----,-25.8,----,-25.8,学術創成研究グループ,Beta Analytic Inc,2009,地域別測定データ,139-524,SFC-18,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
