項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,22560,20：長野県,七ツ栗遺跡,上水内郡信濃町大字富濃字七ツ栗,SK-17　3層,炭化物,T,h,縄文時代,----,B,GaK-18818,β線法,5540,100,----,----,----,----,----,パレオ･ラボ,学習院大学放射性炭素年代測定室,2000,七ッ栗遺跡の放射性炭素年代測定結果,246,----,長野県埋蔵文化財センター発掘調査報告書49　上信越自動車道埋蔵文化財発掘調査報告書16　信濃町内その2　縄文時代?近世　本文編,日本道路公団　長野県教育委員会　(財)長野県文化振興事業団長野県埋蔵文化財センター
2,22561,20：長野県,七ツ栗遺跡,上水内郡信濃町大字富濃字七ツ栗,SK108　土坑底部,黒褐色土壌,T,k,縄文時代,----,B,GaK-18819,β線法,6150,100,----,----,----,----,----,パレオ･ラボ,学習院大学放射性炭素年代測定室,2000,七ッ栗遺跡の放射性炭素年代測定結果,246,----,長野県埋蔵文化財センター発掘調査報告書49　上信越自動車道埋蔵文化財発掘調査報告書16　信濃町内その2　縄文時代?近世　本文編,日本道路公団　長野県教育委員会　(財)長野県文化振興事業団長野県埋蔵文化財センター
3,22559,20：長野県,七ツ栗遺跡,上水内郡信濃町大字富濃字七ツ栗,SK-19　4層,炭化物,T,h,縄文時代,----,B,GaK-18817,β線法,5200,100,----,----,----,----,----,パレオ･ラボ,学習院大学放射性炭素年代測定室,2000,七ッ栗遺跡の放射性炭素年代測定結果,246,----,長野県埋蔵文化財センター発掘調査報告書49　上信越自動車道埋蔵文化財発掘調査報告書16　信濃町内その2　縄文時代?近世　本文編,日本道路公団　長野県教育委員会　(財)長野県文化振興事業団長野県埋蔵文化財センター
4,22482,20：長野県,三夜塚遺跡,東筑摩郡山形村,SK208,炭化材(クリ),T,f,縄文時代前期末,----,B,不明,不明,2980,40,----,----,----,----,----,山形村教育委員会,パリノ･サーヴェイ株式会社,2010,自然化学分析,p5-6,----,三夜塚遺跡Ⅴ,山形村教育委員会
5,22481,20：長野県,三夜塚遺跡,東筑摩郡山形村,SK200,炭化材(カツラ),T,f,縄文時代前期末,----,B,不明,不明,4610,40,----,----,----,----,----,山形村教育委員会,パリノ･サーヴェイ株式会社,2010,自然化学分析,p5-6,----,三夜塚遺跡Ⅴ,山形村教育委員会
6,23034,20：長野県,上五明条里水田址,坂城町大字上平,SK7,炭化種実(ブドウ属),T,g,不明,----,ABCDEFGH,PLD-12609,AMS法,700,20,702,22,-27.99,0.14,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2011,放射性炭素年代測定,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書97　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書2　坂城町内　上五明条里水田址,長野県千曲建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
7,23033,20：長野県,上五明条里水田址,坂城町大字上平,SK6　下層,種実(メロン仲間),T,e,不明,----,ABCDEFGH,PLD-12608,AMS法,725,20,724,21,-25,0.15,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2011,放射性炭素年代測定,付属DVD,----,長野県埋蔵文化財センター発掘調査報告書97　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書2　坂城町内　上五明条里水田址,長野県千曲建設事務所　(財)長野県文化振興事業団長野県埋蔵文化財センター
8,22520,20：長野県,上屋敷遺跡,岡谷市長地,10号住,炭化材(クリ ケンポナシ属),T,f,縄文時代中期初頭,----,B,IAA-418,β線法,5130,70,----,----,----,----,-25.3,パリノ･サーヴェイ株式会社,(株)加速器分析研究所,2006,上屋敷遺跡10号住居址出土炭化材の樹種同定と放射性炭素年代測定,235-237,----,郷土の文化財27　国道20号バイパス関連遺跡発掘調査報告書,岡谷市教育委員会
9,22522,20：長野県,上屋敷遺跡,岡谷市長地,12号住,炭化材(クリ),T,f,縄文時代中期初頭,----,B,IAA-420,β線法,5160,80,----,----,----,----,-23.9,パリノ･サーヴェイ株式会社,(株)加速器分析研究所,2006,上屋敷遺跡10号住居址出土炭化材の樹種同定と放射性炭素年代測定,235-237,----,郷土の文化財27　国道20号バイパス関連遺跡発掘調査報告書,岡谷市教育委員会
10,22521,20：長野県,上屋敷遺跡,岡谷市長地,12号住,炭化材(キリ),T,f,縄文時代中期初頭,----,B,IAA-419,β線法,5080,60,----,----,----,----,-24.9,パリノ･サーヴェイ株式会社,(株)加速器分析研究所,2006,上屋敷遺跡10号住居址出土炭化材の樹種同定と放射性炭素年代測定,235-237,----,郷土の文化財27　国道20号バイパス関連遺跡発掘調査報告書,岡谷市教育委員会
