項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,5212,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,B谷西部(10地区)トレンチ　Loc.18 スコリア直下　b.,炭化材,T,f,不明,----,ABCDEFGH,GaK-12791,β線法,2890,100,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
2,5214,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,台地東部(7地区)　A-1-b.,炭化材,T,f,不明,----,ABCDEFGH,GaK-12793,β線法,2860,80,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
3,5216,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,A谷南支谷部Eトレンチ　Loc.14 Tr.E. L.X.上面,炭化材,T,f,不明,----,ABCDEFGH,GaK-12795,β線法,9540,200,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
4,5218,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,Loc.14 Tr.E. Ⅴ層下部,炭化材,T,f,不明,----,ABCDEFGH,GaK-12797,β線法,2440,70,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
5,5220,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,B谷東部(8地区)Bトレンチ　Loc.17 Tr.B. A.,炭化材,T,f,不明,----,ABCDEFGH,GaK-12799,β線法,3370,100,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
6,5222,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,Loc.17 Tr.M. 1.,炭化材,T,f,不明,----,ABCDEFGH,GaK-12801,β線法,3690,100,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
7,5224,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,A谷東支谷部(3地区)A2トレンチ　Loc.19 097 Tr.A2. Ⅵ層,炭化材,T,f,不明,----,ABCDEFGH,GaK-12803,β線法,4110,100,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
8,5226,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,Loc.14 南西壁B,土壌,T,k,不明,----,ABCDEFGH,GaK-12805,β線法,11520,280,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
9,5228,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,B谷西支谷部(903地区)Dトレンチ　Loc.1 14 C-B.,炭化材,T,f,不明,----,ABCDEFGH,Gak-13371,β線法,2950,70,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
10,5230,11：埼玉県,お伊勢山遺跡,所沢市三ヶ島,Loc.1 14 C-D,炭化材,T,f,不明,----,ABCDEFGH,Gak-13373,β線法,3330,80,----,----,----,----,----,学習院大学放射性炭素年代測定室　木越邦彦,学習院大学放射性炭素年代測定室,2010,学習院大学放射性炭素年代測定結果,315-316,----,お伊勢山遺跡の調査　第1部総論,早稲田大学
