項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,7416,13：東京都,中根岸遺跡,台東区根岸,砂層に包含される貝層,オオノガイ,M,n,縄文時代,----,B,不明,不明,5420,70,----,----,----,----,----,台東区文化財調査会,日本大学年代測定室,2006,総括,25-26,----,台東区埋蔵文化財発掘調査報告書30　中根岸遺跡　根岸三丁目12番地防災広場地点,台東区文化財調査会
2,7483,13：東京都,中里貝塚,北区上中里,S-1,貝,M,n,縄文時代,----,B,Pal-326,β線法,4590,220,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
3,7485,13：東京都,中里貝塚,北区上中里,S-5,貝,M,n,縄文時代,----,B,Pal-328,β線法,4560,430,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
4,7484,13：東京都,中里貝塚,北区上中里,S-1,貝,M,n,縄文時代,----,B,Pal-327,β線法,4490,300,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
5,7490,13：東京都,中里貝塚,北区上中里,S-18,貝,M,n,縄文時代,----,B,Pal-333,β線法,4080,270,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
6,7489,13：東京都,中里貝塚,北区上中里,S-18,貝,M,n,縄文時代,----,B,Pal-332,β線法,3980,390,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
7,7488,13：東京都,中里貝塚,北区上中里,S-18,貝,M,n,縄文時代,----,B,Pal-331,β線法,3910,390,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
8,7487,13：東京都,中里貝塚,北区上中里,S-11,貝,M,n,縄文時代,----,B,Pal-330,β線法,4810,320,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
9,7486,13：東京都,中里貝塚,北区上中里,S-11,貝,M,n,縄文時代,----,B,Pal-329,β線法,4550,620,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2000,堆積年代,33-35,----,北区埋蔵文化財調査報告第26集　中里貝塚,北区教育委員会社会教育課
10,7501,13：東京都,中里貝塚,北区上中里,B地点　S5,カキ,M,n,縄文時代,----,B,PAL-763,β線法,4350,90,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
11,7508,13：東京都,中里貝塚,北区上中里,B地点　S11,カキ,M,n,縄文時代,----,B,PAL-767,β線法,4370,90,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
12,7507,13：東京都,中里貝塚,北区上中里,B地点　S7,カキ,M,n,縄文時代,----,B,PAL-766,β線法,4610,80,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
13,7506,13：東京都,中里貝塚,北区上中里,B地点　S7,カキ,M,n,縄文時代,----,B,PAL-759,β線法,4500,120,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
14,7505,13：東京都,中里貝塚,北区上中里,B地点　S6,カキ,M,n,縄文時代,----,B,PAL-765,β線法,4460,80,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
15,7504,13：東京都,中里貝塚,北区上中里,B地点　S6,カキ,M,n,縄文時代,----,B,PAL-758,β線法,4260,110,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
16,7503,13：東京都,中里貝塚,北区上中里,B地点　S5,アサリ,M,n,縄文時代,----,B,PAL-757,β線法,4210,270,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
17,7502,13：東京都,中里貝塚,北区上中里,B地点　S5,カキ,M,n,縄文時代,----,B,PAL-764,β線法,4300,70,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
18,7500,13：東京都,中里貝塚,北区上中里,B地点　S3,カキ,M,n,縄文時代,----,B,PAL-756,β線法,4460,100,----,----,----,----,----,パリノ･サーヴェイ,パリノ･サーヴェイ,2002,中里貝塚の形成年代と古環境,336-353,----,北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ,北区教育委員会社会教育課
