項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,6421,13：東京都,なすな原近隣遺跡,町田市,ローム層BO No.3,木炭,T,f,縄文時代草創期,----,B,不明,β線法,8830,170,----,----,----,----,----,なすな原近隣遺跡調査会,社団法人日本アイソトープ協会,1978,ローム層における遺構･遺物,p11-12,----,なすな原近隣遺跡調査報告書,なすな原近隣遺跡調査会
2,6420,13：東京都,なすな原近隣遺跡,町田市,ソフトローム層No1、2,木炭,T,f,縄文時代草創期,----,B,不明,β線法,9090,130,----,----,----,----,----,なすな原近隣遺跡調査会,社団法人日本アイソトープ協会,1978,ローム層における遺構･遺物,p11-12,----,なすな原近隣遺跡調査報告書,なすな原近隣遺跡調査会
3,6960,13：東京都,三吉野遺跡群井戸端地区,東京都西多摩郡日の出町大字平井字三吉野,拡張区　FP-1,炭化物,T,h,縄文時代中期初頭,五領ヶ台式,B,IAAA-92601,AMS法,4520,30,4523,26,-22.23,0.51,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2010,三吉野遺跡群井戸端地区の自然化学分析調査成果報告,p11-22,----,平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-,日の出町教育委員会
4,6963,13：東京都,三吉野遺跡群井戸端地区,東京都西多摩郡日の出町大字平井字三吉野,1区　SX06,炭化物,T,h,縄文時代中期初頭,五領ヶ台式,B,IAAA-92155,AMS法,4440,40,4437,34,-24.94,0.63,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2010,三吉野遺跡群井戸端地区の自然化学分析調査成果報告,p11-22,----,平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-,日の出町教育委員会
5,6962,13：東京都,三吉野遺跡群井戸端地区,東京都西多摩郡日の出町大字平井字三吉野,1区　SX02,炭化物,T,h,縄文時代中期初頭,五領ヶ台式,B,IAAA-92156,AMS法,4510,40,4509,35,-27.97,0.21,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2010,三吉野遺跡群井戸端地区の自然化学分析調査成果報告,p11-22,----,平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-,日の出町教育委員会
6,6961,13：東京都,三吉野遺跡群井戸端地区,東京都西多摩郡日の出町大字平井字三吉野,1区　SX01,炭化物,T,h,縄文時代中期初頭,五領ヶ台式,B,IAAA-92154,AMS法,4520,30,4524,33,-27.33,0.59,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2010,三吉野遺跡群井戸端地区の自然化学分析調査成果報告,p11-22,----,平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-,日の出町教育委員会
7,6959,13：東京都,三吉野遺跡群井戸端地区,東京都西多摩郡日の出町大字平井字三吉野,1区　SK41,炭化物,T,h,縄文時代早期頃,----,B,IAAA-82347,AMS法,10100,50,10097,51,-25.04,0.76,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2010,三吉野遺跡群井戸端地区の自然化学分析調査成果報告,p11-22,----,平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-,日の出町教育委員会
8,6966,13：東京都,三吉野遺跡群桜木地区,東京都西多摩郡日の出町大字平井字三吉野,平成17年度FトレンチSX02集石,炭化材,T,f,縄文時代草創期後葉?,----,B,IAAA-92942,AMS法,4500,30,----,----,----,----,-18.7,小林謙一,(株)加速器分析研究所,2010,縄文時代の年代と三吉野遺跡群,88-100,----,平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-,日の出町教育委員会
9,6965,13：東京都,三吉野遺跡群桜木地区,東京都西多摩郡日の出町大字平井字三吉野,1区1面　SX01集石(草創期面),炭化物,T,h,縄文時代草創期,----,B,IAAA-92941,AMS法,4540,30,----,----,----,----,-19,小林謙一,(株)加速器分析研究所,2010,縄文時代の年代と三吉野遺跡群,88-100,----,平井ッ原の地形と縄文人-三吉野遺跡群井戸端地区とその周辺-,日の出町教育委員会
10,7645,13：東京都,三吉野遺跡群桜木地区,東京都西多摩郡日の出町,1区2面　SK41土坑,炭化物(土壌混じり),T,h,不明,----,ABCDEFGH,IAAA-82347,AMS法,10100,50,10097,51,-25.04,0.76,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2009,南足下田遺跡　自然科学分析,40-49,----,日の出町埋蔵文化財調査報告書第7集　日の出町埋蔵文化財調査年報(平成15年度?平成20年度),日の出町教育委員会
11,7126,13：東京都,三矢田遺跡,町田市真光寺町,10号竪穴状遺構　下位焼土層　南北ベルト3d層,炭化種子(オニグルミ),T,g,縄文時代前期,----,B,Gak-15139,β線法,4800,300,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1991,真光寺･広袴遺跡群自然科学分析報告,602-603,----,真光寺･広袴遺跡群Ⅵ　三矢田遺跡ー遺物･考察編ー,鶴川第二地区遺跡調査会
12,6569,13：東京都,下原B遺跡,三鷹市大沢,SS-5,炭化材(コナラ属コナラ亜属クヌギ節･クリ),T,f,縄文時代,----,B,PAL-940,β線法,4660,110,----,----,----,----,----,パリノ・サーヴェイ株式会社,パリノ・サーヴェイ株式会社,2002,自然科学分析,103-110,----,三鷹市埋蔵文化財調査報告第24集　下原B遺跡Ⅰ,東京都北多摩南部建設事務所　三鷹市教育委員会　三鷹市遺跡調査会
13,6568,13：東京都,下原B遺跡,三鷹市大沢,SS-3,炭化材(コナラ属コナラ亜属クヌギ節),T,f,縄文時代,----,B,PAL-939,β線法,4800,80,----,----,----,----,----,パリノ・サーヴェイ株式会社,パリノ・サーヴェイ株式会社,2002,自然科学分析,103-110,----,三鷹市埋蔵文化財調査報告第24集　下原B遺跡Ⅰ,東京都北多摩南部建設事務所　三鷹市教育委員会　三鷹市遺跡調査会
14,6540,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS004 2層,炭化材(クリ),T,f,不明,----,ABCDEFGH,PLD-17115,AMS法,4345,25,4346,25,-26.06,0.13,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,----,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
15,6541,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS021 2層,炭化材(クリ),T,f,不明,----,ABCDEFGH,PLD-17128,AMS法,4495,25,4493,27,-26.35,0.13,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,----,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
16,6544,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS009 2層,炭化材(広葉樹),T,f,縄文時代中期初頭?中期中葉,----,B,PLD-19716,AMS法,4395,20,4397,21,-24.42,0.15,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,----,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
17,6543,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS009 3層,炭化材(コナラ属クヌギ節),T,f,縄文時代中期初頭?中期中葉,----,B,PLD-17119,AMS法,4515,25,4514,25,-27.68,0.11,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,----,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
18,6542,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS008 3層,炭化材(コナラ属クヌギ節),T,f,縄文時代中期初頭?中期中葉,----,B,PLD-17118,AMS法,4545,25,4546,25,-28.65,0.14,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,----,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
19,6538,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS006 2層　9-13年輪,炭化材(コナラ属クヌギ節),T,f,縄文時代中期初頭?中期中葉,----,B,PLD-17117,AMS法,4550,25,4551,25,-28.61,0.11,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,ウイグルマッチング,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
20,6537,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS006 2層　最終形成年輪-8年輪,炭化材(コナラ属クヌギ節),T,f,縄文時代中期初頭?中期中葉,----,B,PLD-17116,AMS法,4520,25,4519,25,-26.34,0.13,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,ウイグルマッチング,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
21,6546,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS017 2層,炭化材(コナラ属コナラ節),T,f,縄文時代中期初頭?中期後葉,----,B,PLD-17127,AMS法,4485,25,4485,26,-28.41,0.13,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,----,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
22,6556,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS015 3層,炭化材(クリ),T,f,縄文時代中期中葉,----,B,PLD-19719,AMS法,4405,20,4406,22,-26.63,0.14,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,----,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
23,6555,13：東京都,下原･富士見町遺跡,三鷹市大沢･調布市富士見町,SS013 4層,炭化材(広葉樹節),T,f,縄文時代中期中葉,----,B,PLD-17125,AMS法,4435,25,4436,25,-25.47,0.13,----,パレオ･ラボAMS年代測定グループ,パレオ･ラボAMS年代測定グループ,2013,下原･富士見町遺跡の遺構出土炭化材･炭化種実の放射性炭素年代測定,174-182,----,明治大学校地内遺跡調査団調査報告書4　下原･富士見町遺跡Ⅱ,学校法人 明治大学
