項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,22048,19：山梨県,三ノ側遺跡(県立都留興譲館高校地点),都留市上谷五丁目,第5区2面　地山(10層),炭化材(クリ),T,f,縄文時代早期以降,----,B,IAAA-160955,AMS法,6580,30,6578,28,-24.76,0.68,----,(株)加速器分析研究所,(株)加速器分析研究所,2017,放射性炭素年代測定,51-52,----,山梨県埋蔵文化財センター調査報告書第314集　三ノ側遺跡(県立都留興譲館高校地点),山梨県教育委員会
2,22049,19：山梨県,三宮地遺跡,韮崎市藤井町北下条字三宮地,SD-3,土壌有機物,T,k,縄文時代晩期前半,----,B,PLD-322,β線法,2700,100,----,----,----,----,----,山形秀樹(パレオ･ラボ),パレオ･ラボ,1998,放射性炭素年代測定,82,----,三宮地遺跡,韮崎市遺跡調査会　韮崎市教育委員会
3,22099,19：山梨県,上の平遺跡,東八代郡中道町大字下向山字上の平,集石土坑,炭化材,T,f,縄文時代前期後半,----,B,Gak-20217,β線法,4730,100,----,----,----,----,-26.4,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1999,第1号集石土坑の自然科学調査,22-23,----,山梨県埋蔵文化財センター調査報告書第173集　甲斐風土器の丘･曽根丘陵公園-上の平遺跡第7次調査-,山梨県埋蔵文化センター
4,22079,19：山梨県,上コブケ遺跡,山梨市北･南,C区集石土坑1号,炭化材(クヌギ節),T,f,縄文時代,----,B,IAAA-112757,AMS法,5010,30,5013,29,-27.93,0.39,----,パリノ･サーヴェイ株式会社,パリノ･サーヴェイ株式会社,2014,上コブケ遺跡C区の自然科学分析,360-364,----,山梨県埋蔵文化財センター調査報告書第296集　上コブケ遺跡,山梨県教育委員会　山梨県県土整備部
5,22224,19：山梨県,中溝遺跡,都留市小形山大原,5号住居跡,炭化材,T,f,縄文時代早期末?前期初頭,----,B,Gak-18816,β線法,6990,300,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中溝遺跡における炭化物の年代測定報告,54,----,山梨県埋蔵文化財センター調査報告書第115集　中溝遺跡･揚久保遺跡,山梨県教育委員会
6,22223,19：山梨県,中溝遺跡,都留市小形山大原,4号住居跡,炭化材,T,f,縄文時代早期末?前期初頭,----,B,Gak-18815,β線法,5590,130,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中溝遺跡における炭化物の年代測定報告,54,----,山梨県埋蔵文化財センター調査報告書第115集　中溝遺跡･揚久保遺跡,山梨県教育委員会
7,22222,19：山梨県,中溝遺跡,都留市小形山,配石遺構の下　方形住居址,木炭(針葉樹　ツガまたはモミ),T,f,縄文時代,----,B,TLS-73030,β線法,3560,20,----,----,----,----,----,篠原博(都留文科大学),都留文科大学,1974,木炭の年代測定の経過と結果,87,----,中溝遺跡,都留市教育委員会
8,22226,19：山梨県,中谷遺跡,都留市小形山瀬木,3号集石,炭化物,T,f,縄文時代,----,B,Gak-18805,β線法,4630,100,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
9,22228,19：山梨県,中谷遺跡,都留市小形山瀬木,5号集石,炭化物,T,f,縄文時代,----,B,Gak-18807,β線法,4780,110,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
10,22227,19：山梨県,中谷遺跡,都留市小形山瀬木,4号集石,炭化物,T,f,縄文時代,----,B,Gak-18806,β線法,5120,110,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
11,22232,19：山梨県,中谷遺跡,都留市小形山瀬木,9号集石,炭化物,T,f,縄文時代,----,B,Gak-18811,β線法,4920,100,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
12,22235,19：山梨県,中谷遺跡,都留市小形山瀬木,16号集石,炭化物,T,f,縄文時代,----,B,Gak-18814,β線法,4560,90,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
13,22234,19：山梨県,中谷遺跡,都留市小形山瀬木,14号集石,炭化物,T,f,縄文時代,----,B,Gak-18813,β線法,4990,90,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
14,22233,19：山梨県,中谷遺跡,都留市小形山瀬木,11号集石,炭化物,T,f,縄文時代,----,B,Gak-18812,β線法,4830,110,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
15,22231,19：山梨県,中谷遺跡,都留市小形山瀬木,8号集石,炭化物,T,f,縄文時代,----,B,Gak-18810,β線法,4670,100,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
16,22230,19：山梨県,中谷遺跡,都留市小形山瀬木,7号集石,炭化物,T,f,縄文時代,----,B,Gak-18809,β線法,4470,100,----,----,----,----,----,パリノ･サーヴェイ株式会社,学習院大学放射性炭素年代測定室,1996,中谷遺跡における自然科学分析,180,----,山梨県埋蔵文化財センター調査報告書第116集　中谷遺跡,山梨県教育委員会
