Start,End,Timespan_Start,Timespan_End,Counts
夏島,夏島,S3,S3,1
稲荷台,稲荷台,S3,S3,21
稲荷原・大浦山・花輪台１,稲荷原・大浦山・花輪台１,S3,S3,7
平坂・花輪台２,平坂・花輪台２,S3,S3,3
井草I,稲荷原・大浦山・花輪台１,S3,S3,17
田戸下層・細久保,田戸上層,S4,S4,1
野島,野島,S5,S5,5
茅山下層,茅山上層,S7,S7,1
平坂・花輪台２,（塩屋）下吉井,S3,S8,5
（塩屋）下吉井,花積下層・中越,S8,Z1,2
花積下層・中越,花積下層・中越,Z1,Z1,4
関山・二ツ木・神ノ木,関山・二ツ木・神ノ木,Z2,Z2,12
黒浜・有尾,黒浜・有尾,Z3,Z3,17
諸磯a・南大原,諸磯a・南大原,Z4,Z4,31
諸磯b・上原,諸磯b・上原,Z5,Z5,29
十三菩提・日向II・籠畑II,十三菩提・日向II・籠畑II,Z7,Z7,10
諸磯a・南大原,諸磯c・日向I・籠畑I・下島,Z4,Z6,11
黒浜・有尾,諸磯b・上原,Z3,Z5,48
黒浜・有尾,諸磯c・日向I・籠畑I・下島,Z3,Z6,21
花積下層・中越,十三菩提・日向II・籠畑II,Z1,Z7,13
五領ヶ台１,五領ヶ台２・阿玉台１a,C1,C56,22
貉沢,井戸尻III,C56,C9,376
大木８a・加曽利E1・曽利I,大木８b・加曽利E２・曽利II,C10,C11,225
曽利III,曽利IV,C11,C12,430
加曽利EIII,加曽利EIII,C12,C13,18
加曽利EIV,加曽利EIV,C13,C13,50
加曽利EIII,加曽利EIV,C12,C13,51
曽利III,加曽利EIII,C11,C13,11
曽利III,加曽利EIV,C11,C13,64
大木８a・加曽利E1・曽利I,加曽利EIV,C10,C13,355
貉沢,加曽利EIV,C56,C13,123
貉沢,曽利IV,C56,C12,120
五領ヶ台１,加曽利EIV,C1,C13,206
称名寺,称名寺,K1,K1,27
堀之内１,堀之内１,K2,K2,103
堀之内２,堀之内２,K3,K3,33
加曽利B1,加曽利B1,K4,K4,34
加曽利B2,加曽利B2,K5,K5,3
加曽利B3,加曽利B3,K6,K6,9
安行1,安行1,K8,K8,1
安行1,安行2,K8,K8,2
堀之内１,堀之内２,K2,K3,131
加曽利B1,加曽利B3,K4,K6,19
称名寺,加曽利B1,K1,K4,11
堀之内１,加曽利B3,K2,K6,11
称名寺,安行2,K1,K8,15
大洞B・安行3a,大洞C1・安行3c・前浦１,B1,B3,14
大洞C1・安行3c・前浦１,大洞C1・安行3c・前浦１,B3,B3,1
