Start,End,Timespan_Start,Timespan_End,Counts
回転縄文系,回転縄文系,S2.2,S2.2,2
井草I,稲荷原・大浦山・花輪台１,S3,S3,3
立野,立野,S3,S3,3
平坂・花輪台２,平坂・花輪台２,S3,S3,1
田戸下層・細久保,田戸下層・細久保,S4,S4,13
稲荷台,田戸下層・細久保,S3,S4,1
茅山下層,茅山上層,S7,S7,3
茅山上層,茅山上層,S7,S7,1
（入海I）,（入海II）,S8,S8,1
打越,打越,S8,S8,1
（塩屋）下吉井,（塩屋）下吉井,S8,S8,32
（塩屋）下吉井,花積下層・中越,S8,Z1,5
花積下層・中越,花積下層・中越,Z1,Z1,16
花積下層・中越,花積下層・中越,Z1,Z1,66
関山・二ツ木・神ノ木,関山・二ツ木・神ノ木,Z2,Z2,4
関山・二ツ木・神ノ木,関山・二ツ木・神ノ木,Z2,Z2,9
黒浜・有尾,黒浜・有尾,Z3,Z3,36
花積下層・中越,黒浜・有尾,Z1,Z3,78
諸磯a・南大原,諸磯a・南大原,Z4,Z4,16
諸磯b・上原,諸磯b・上原,Z5,Z5,10
諸磯a・南大原,諸磯b・上原,Z4,Z5,27
諸磯c・日向I・籠畑I・下島,諸磯c・日向I・籠畑I・下島,Z6,Z6,19
十三菩提・日向II・籠畑II,十三菩提・日向II・籠畑II,Z7,Z7,20
諸磯c・日向I・籠畑I・下島,十三菩提・日向II・籠畑II,Z6,Z7,2
花積下層・中越,十三菩提・日向II・籠畑II,Z1,Z7,2
五領ヶ台１,五領ヶ台１,C1,C1,19
五領ヶ台２・阿玉台１a,五領ヶ台２・阿玉台１a,C234,C56,27
貉沢,貉沢,C56,C56,41
五領ヶ台１,五領ヶ台２・阿玉台１a,C1,C56,31
五領ヶ台１,新道,C1,C56,36
新道,新道,C56,C56,63
貉沢,新道,C56,C56,5
阿玉台２・藤内I,阿玉台２・藤内I,C78,C78,62
阿玉台３,阿玉台３,C78,C78,33
阿玉台２・藤内I,阿玉台３,C78,C78,21
新道,阿玉台３,C56,C78,4
井戸尻I,井戸尻I,C9,C9,57
井戸尻III,井戸尻III,C9,C9,60
井戸尻I,井戸尻III,C9,C9,6
阿玉台２・藤内I,井戸尻III,C78,C9,42
井戸尻III,大木８a・加曽利E1・曽利I,C9,C10,7
大木８a・加曽利E1・曽利I,大木８a・加曽利E1・曽利I,C10,C10,145
大木８b・加曽利E２・曽利II,大木８b・加曽利E２・曽利II,C11,C11,345
大木８a・加曽利E1・曽利I,大木８b・加曽利E２・曽利II,C10,C11,11
曽利III,曽利III,C11,C11,227
曽利IV,曽利IV,C12,C12,84
曽利III,曽利IV,C11,C12,22
大木８b・加曽利E２・曽利II,曽利III,C11,C11,51
加曽利EIII,加曽利EIII,C12,C13,6
加曽利EIV,加曽利EIV,C13,C13,8
加曽利EIII,加曽利EIV,C12,C13,28
曽利IV,加曽利EIV,C12,C13,5
大木８a・加曽利E1・曽利I,加曽利EIV,C10,C13,81
貉沢,加曽利EIV,C56,C13,13
五領ヶ台１,加曽利EIV,C1,C13,396
称名寺,称名寺,K1,K1,12
堀之内１,堀之内１,K2,K2,7
堀之内２,堀之内２,K3,K3,2
堀之内１,堀之内２,K2,K3,18
加曽利B1,加曽利B1,K4,K4,2
加曽利B2,加曽利B2,K5,K5,1
加曽利B1,加曽利B3,K4,K6,1
堀之内１,加曽利B3,K2,K6,11
高井東・曽谷,安行2,K7,K8,4
称名寺,安行2,K1,K8,27
大洞BC・安行3b,大洞BC・安行3b,B2,B2,1
大洞A・千網・氷I,大洞A・千網・氷I,B5,B5,9
大洞A・千網・氷I,大洞A’・荒海・氷II,B5,B6,16
