Start,End,Timespan_Start,Timespan_End,Counts
爪型文系,爪型文系,S1.2,S2.1,1
井草II・大丸,井草II・大丸,S3,S3,1
稲荷台,稲荷台,S3,S3,7
井草I,稲荷原・大浦山・花輪台１,S3,S3,1
野島,野島,S5,S5,25
茅山下層,茅山下層,S7,S7,2
茅山下層,茅山上層,S7,S7,1
野島,茅山下層,S5,S7,4
神之末台,（塩屋）下吉井,S8,S8,55
花積下層・中越,花積下層・中越,Z1,Z1,54
関山・二ツ木・神ノ木,関山・二ツ木・神ノ木,Z2,Z2,132
黒浜・有尾,黒浜・有尾,Z3,Z3,163
諸磯a・南大原,諸磯a・南大原,Z4,Z4,45
諸磯b・上原,諸磯b・上原,Z5,Z5,46
諸磯c・日向I・籠畑I・下島,諸磯c・日向I・籠畑I・下島,Z6,Z6,3
十三菩提・日向II・籠畑II,十三菩提・日向II・籠畑II,Z7,Z7,1
諸磯a・南大原,諸磯b・上原,Z4,Z5,22
五領ヶ台１,五領ヶ台１,C1,C1,1
貉沢,大木８b・加曽利E２・曽利II,C56,C11,17
加曽利EIII,加曽利EIII,C12,C13,25
加曽利EIV,加曽利EIV,C13,C13,10
貉沢,井戸尻III,C56,C9,122
大木８a・加曽利E1・曽利I,大木８b・加曽利E２・曽利II,C10,C11,139
曽利III,曽利IV,C11,C12,114
大木１０・加曽利E４・曽利V,大木１０・加曽利E４・曽利V,C13,C13,15
曽利III,加曽利EIII,C11,C13,18
大木８a・加曽利E1・曽利I,曽利IV,C10,C12,99
大木８a・加曽利E1・曽利I,加曽利EIII,C10,C13,21
大木８a・加曽利E1・曽利I,加曽利EIV,C10,C13,23
貉沢,曽利IV,C56,C12,64
貉沢,加曽利EIV,C56,C13,223
貉沢,称名寺,C56,K1,174
称名寺,称名寺,K1,K1,15
堀之内１,堀之内１,K2,K2,10
堀之内２,堀之内２,K3,K3,5
加曽利B1,加曽利B1,K4,K4,10
加曽利B2,加曽利B2,K5,K5,8
加曽利B3,加曽利B3,K6,K6,6
安行1,安行1,K8,K8,3
安行2,安行2,K8,K8,4
称名寺,堀之内１,K1,K2,39
堀之内１,堀之内２,K2,K3,6
安行2,大洞B・安行3a,K8,B1,5
大洞B・安行3a,大洞B・安行3a,B1,B1,4
大洞A・千網・氷I,大洞A’・荒海・氷II,B5,B6,2
大洞B・安行3a,大洞BC・安行3b,B1,B2,3
