Start,End,Timespan_Start,Timespan_End,Counts
隆起線文系,回転縄文系,S1-1,S2-2,2
夏島,夏島,S3,S3,7
稲荷台,稲荷台,S3,S3,11
S3,稲荷原・大浦山・花輪台１,S3,S3,6
子母口,子母口,S5,S5,6
野島,野島,S5,S5,8
鵜ヶ島台,鵜ヶ島台,S6,S6,3
茅山上層,茅山上層,S7,S7,1
夏島,稲荷台,S3,S3,24
子母口,茅山上層,S5,S7,11
井草I,稲荷原・大浦山・花輪台１,S3,S3,19
平坂・花輪台２,（塩屋）下吉井,S3,S8,32
花積下層・中越,花積下層・中越,Z1,Z1,15
関山・二ツ木・神ノ木,関山・二ツ木・神ノ木,Z2,Z2,11
黒浜・有尾,黒浜・有尾,Z3,Z3,7
諸磯a・南大原,諸磯a・南大原,Z4,Z4,4
諸磯b・上原,諸磯b・上原,Z5,Z5,35
諸磯c・日向I・籠畑I・下島,諸磯c・日向I・籠畑I・下島,Z6,Z6,1
十三菩提・日向II・籠畑II,十三菩提・日向II・籠畑II,Z7,Z7,4
諸磯a・南大原,諸磯c・日向I・籠畑I・下島,Z4,Z6,38
黒浜・有尾,諸磯a・南大原,Z3,Z4,13
花積下層・中越,十三菩提・日向II・籠畑II,Z1,Z7,9
五領ヶ台１,五領ヶ台２・阿玉台１a,C1,C56,28
貉沢,井戸尻III,C56,C9,500
大木８a・加曽利E1・曽利I,大木１０・加曽利E４・曽利V,C10,C13,761
五領ヶ台１,大木１０・加曽利E４・曽利V,C1,C13,458
加曽利EIV,称名寺,C13,K1,18
称名寺,称名寺,K1,K1,12
堀之内１,堀之内１,K2,K2,31
堀之内２,堀之内２,K3,K3,14
加曽利B1,加曽利B1,K4,K4,4
加曽利B2,加曽利B2,K5,K5,10
加曽利B3,加曽利B3,K6,K6,1
安行1,安行1,K8,K8,2
安行2,安行2,K8,K8,1
堀之内１,堀之内２,K2,K3,42
加曽利B1,加曽利B3,K4,K6,11
加曽利EIV,堀之内２,C13,K3,3
称名寺,安行2,K1,K8,35
大洞B・安行3a,大洞B・安行3a,B1,B1,2
大洞BC・安行3b,大洞BC・安行3b,B2,B2,3
大洞C1・安行3c・前浦１,大洞C1・安行3c・前浦１,B3,B3,4
大洞B・安行3a,大洞C1・安行3c・前浦１,B1,B3,14
