Start,End,Timespan_Start,Timespan_End,Counts
稲荷台,田戸下層・細久保,S3,S4,4
神之末台,神之末台,S8,S8,25
（塩屋）下吉井,（塩屋）下吉井,S8,S8,13
関山・二ツ木・神ノ木,関山・二ツ木・神ノ木,Z2,Z2,1
黒浜・有尾,黒浜・有尾,Z3,Z3,15
諸磯b・上原,諸磯b・上原,Z5,Z5,47
諸磯c・日向I・籠畑I・下島,諸磯c・日向I・籠畑I・下島,Z6,Z6,7
五領ヶ台１,五領ヶ台１,C1,C1,28
貉沢,貉沢,C56,C56,3
新道,新道,C56,C56,7
阿玉台２・藤内I,阿玉台３,C78,C78,30
井戸尻I,井戸尻III,C9,C9,34
大木８a・加曽利E1・曽利I,大木８a・加曽利E1・曽利I,C10,C10,10
大木８b・加曽利E２・曽利II,大木８b・加曽利E２・曽利II,C11,C11,27
曽利III,曽利III,C11,C11,34
曽利IV,曽利IV,C12,C12,21
大木１０・加曽利E４・曽利V,大木１０・加曽利E４・曽利V,C13,C13,12
大木８b・加曽利E２・曽利II,曽利III,C11,C11,2
曽利IV,大木１０・加曽利E４・曽利V,C12,C13,5
大木８a・加曽利E1・曽利I,大木８b・加曽利E２・曽利II,C10,C11,39
曽利III,曽利IV,C11,C12,77
称名寺,称名寺,K1,K1,1
堀之内１,堀之内２,K2,K3,10
加曽利B1,加曽利B3,K4,K6,19
高井東・曽谷,安行2,K7,K8,9
大洞BC・安行3b,大洞C1・安行3c・前浦１,B2,B3,11
大洞C２・安行3d・前浦２,大洞A・千網・氷I,B4,B5,2
大洞B・安行3a,大洞BC・安行3b,B1,B2,8
