"Pass","Start B2","End B2","Start B6","End B6","Start B4","End B4","Start B5","End B5","Start B3","End B3","Start B1","End B1","Start C12","End C12","Start C9","End C9","Start C11","End C11","Start C13","End C13","Start C10","End C10","Start C234","End C234","Start C56","End C56","Start C1","End C1","Start K1","End K1","Start C78","End C78","Start C14","End C14","Start K2","End K2","Start K7","End K7","Start K6","End K6","Start K8","End K8","Start K4","End K4","Start K3","End K3","Start K5","End K5","Start S6","End S6","Start S5","End S5","Start S4","End S4","Start S7","End S7","Start S3","End S3","Start S8","End S8","Start S1.1","End S1.1","Start S0","End S0","Start S2.2","End S2.2","Start S2.1","End S2.1","Start S1.2","End S1.2","Start Z6","End Z6","Start Z2","End Z2","Start Z4","End Z4","Start Z7","End Z7","Start Z5","End Z5","Start Z3","End Z3","Start Z1","End Z1",
0,-1218.53,-945.177,-750.368,-482.508,-954.661,-762.502,-802.014,-687.86,-1114.57,-969.395,-1277.97,-1102.56,-2865.34,-2698.54,-3102.28,-3006.5,-3054.34,-2823.91,-2598.53,-2471.44,-3088.88,-2923.83,-3348.19,-3346.35,-3195.58,-3182.69,-3531.81,-3456.44,-2537.53,-2220.26,-3278.47,-3022.04,-2659.12,-2482.17,-2280.29,-2134.89,-1534.98,-1354.66,-1620.27,-1459.98,-1490.18,-1248.08,-1912.52,-1762.38,-2094.27,-1870.51,-1766.64,-1581.95,-6146.81,-6048.7,-7077.28,-6331.18,-7844.58,-7117.93,-6289.43,-5646.15,-9523.19,-8321,-5552.3,-5006.73,-13667.5,-12406.9,-14783.9,-13419,-10956.1,-9171.58,-11202.5,-10665.2,-12117.8,-11043.8,-3890.79,-3495.25,-4812.24,-4181.74,-4161.02,-3780.66,-3620.12,-3447.1,-4002.2,-3608.07,-4340.81,-4032.74,-5344.41,-4609.95,
100,-1243,-1000.28,-809.009,-526.869,-975.379,-792.811,-798.884,-703.533,-1079.36,-905.95,-1270.2,-1082.4,-2842.45,-2706.08,-3111.29,-3006.22,-3023.44,-2812.25,-2593.24,-2471.44,-3073.38,-2923.83,-3346.34,-3335.27,-3195.58,-3185.27,-3513.55,-3412.36,-2546.95,-2239.75,-3319.41,-3093.23,-2592.05,-2486.11,-2285.76,-2116.67,-1522.05,-1384.51,-1598,-1427.18,-1410.07,-1237.05,-1968.06,-1805.35,-2115.95,-1867.7,-1766.64,-1545.25,-6208.57,-6014.43,-6846.89,-6183.67,-7921.15,-7121.63,-6344.92,-5703.1,-9685.43,-8511.19,-5598.43,-4998.4,-13523.5,-12300.4,-14606.3,-13398,-10771.8,-9449.07,-11265.1,-10636.7,-12094.5,-11177.6,-3900.69,-3457.89,-4849.96,-4208.37,-4375.91,-3740.37,-3618.64,-3467.12,-4015.27,-3586.57,-4393.02,-4071.86,-5344.41,-4609.95,
200,-1218.94,-978.867,-719.75,-488.36,-948.34,-741.962,-812.635,-675.149,-1096.86,-942.613,-1279.01,-1114.68,-2871.26,-2706.08,-3113.06,-3012.62,-3050.24,-2823.66,-2599.75,-2477.31,-3077.63,-2912.54,-3348.13,-3335.27,-3157.64,-3152.74,-3503.11,-3360.68,-2536.99,-2231.89,-3221.72,-3012.15,-2552.35,-2440.43,-2291.07,-2134.14,-1522.23,-1384.51,-1652.4,-1455,-1457.31,-1172.88,-1919.81,-1818.06,-2129.43,-1857.12,-1784.77,-1562.39,-6199.05,-6059.79,-6891.98,-6248.81,-7841.24,-7191.82,-6332.93,-5711.84,-9605.98,-8444.06,-5627.19,-5021.77,-13471.1,-12313.6,-14664.1,-13428.8,-10770.5,-9260.3,-11271.3,-10680,-12081.2,-11142.9,-3968.9,-3432.43,-4665.54,-4204.38,-4189.8,-3775.66,-3612.54,-3467.12,-3969.98,-3626.48,-4393.88,-4082.9,-5291.46,-4795.38,
300,-1228.93,-981.725,-742.604,-492.435,-958.011,-765.925,-801.308,-677.072,-1103.16,-946.256,-1279.01,-1064.61,-2871.26,-2716.61,-3097.08,-3009.5,-2971.34,-2814.41,-2603.43,-2451.56,-3088.66,-2936.42,-3347.37,-3332.89,-3204.75,-3152.74,-3483.79,-3382.06,-2572.53,-2231.1,-3258.55,-3024.68,-2578.92,-2337.26,-2299.46,-2111.13,-1521.3,-1384.51,-1624.58,-1471.83,-1422.38,-1269.88,-1951.84,-1781.85,-2076.52,-1860.23,-1770.16,-1570.73,-6199.01,-6041.28,-6937.62,-6212.04,-7870.81,-7148.83,-6249.27,-5572.77,-9447.97,-8412.17,-5627.19,-5024.44,-13860.4,-12517.2,-14372.7,-13252.7,-11053.5,-9266.68,-11271.3,-10680,-12081.2,-11162.5,-3915.61,-3484.09,-4789.08,-4150.53,-4427.48,-3713.78,-3618.72,-3427.89,-3991.45,-3603.07,-4357.19,-4075.23,-5361.78,-4777.58,
400,-1228.93,-958.792,-784.733,-452.604,-958.011,-734.015,-801.308,-665.996,-1079.29,-937.156,-1291.56,-1064.61,-2869.53,-2693.25,-3097.08,-2994.52,-3002.22,-2829.1,-2599.16,-2462.25,-3101.36,-2951.44,-3348.48,-3332.89,-3196.33,-3175.16,-3500.61,-3411.86,-2588.13,-2242.93,-3292.34,-3029.31,-2576.66,-2437.9,-2292.44,-2092.71,-1521.3,-1384.51,-1651.49,-1460.59,-1403.54,-1250.71,-1933.65,-1777.72,-2095.4,-1832.76,-1794.32,-1544.21,-6206.77,-6071.53,-6940.15,-6414.81,-7908.21,-7052.66,-6206.17,-5631.34,-9394.8,-8383.55,-5738.86,-5001,-13927.5,-12596.2,-14550.2,-13315.1,-10785.7,-9407.3,-11308.9,-10686.7,-12061.9,-11171.9,-3914.16,-3529.18,-4832.36,-4177.59,-4228.52,-3913.42,-3618.72,-3416.11,-3958.68,-3526.65,-4373.05,-4079.44,-5287.56,-4531.31,
500,-1222.15,-947.307,-734.867,-507.543,-958.011,-734.015,-801.308,-677.483,-1087.43,-948.043,-1297.39,-1109.5,-2865.78,-2681.89,-3095.82,-2994.52,-3004.36,-2829.1,-2607.56,-2457.43,-3114.51,-2894.52,-3351.05,-3332.89,-3333.44,-3316.89,-3602.12,-3397.68,-2592.76,-2318.67,-3359.52,-3081.48,-2588.99,-2438.41,-2305.23,-2113.65,-1511.39,-1384.51,-1615.7,-1448.67,-1471.69,-1305.81,-1975.96,-1782.84,-2088.28,-1877.87,-1774.46,-1547,-6201.53,-6085.83,-6861.8,-6359.12,-7873.9,-7088.41,-6277.34,-5690.95,-9441.6,-8386.36,-5574.21,-4968.32,-13701.1,-12355.4,-14603,-13574.5,-10872.1,-9435.03,-11269.4,-10770.1,-12060.2,-11089.1,-3972.83,-3442.26,-4719.55,-4207.09,-4138.22,-3826.64,-3588.17,-3431.26,-4008.05,-3630.6,-4306.04,-4009.12,-5273.64,-4785.59,
600,-1241.89,-960.433,-726.492,-503.512,-928.462,-730.74,-803.993,-723.467,-1108.88,-869.671,-1297.39,-1109.5,-2865.78,-2681.89,-3095.82,-2984.73,-3035.38,-2760.98,-2603.76,-2466.69,-3079.95,-2856.12,-3350.54,-3335.34,-3341.61,-3316.89,-3429.42,-3372.79,-2622.09,-2274.42,-3304.01,-3085.67,-2581.8,-2464.44,-2283.66,-2135.83,-1504.42,-1384.51,-1591.72,-1437.01,-1476.23,-1218.45,-1966.01,-1781.77,-2069.92,-1868.47,-1806.63,-1592.91,-6225.71,-6042.93,-6871.7,-6317,-7821.11,-7033.75,-6265.7,-5658.95,-9458.11,-8347.77,-5582.35,-4945.29,-13618.2,-12287.4,-14861.5,-13644,-10797.2,-9511.38,-11269.4,-10758,-11990.6,-11175.7,-3843.18,-3442.73,-4772.73,-4174.31,-4150.36,-3680.28,-3652.1,-3428.46,-3954.5,-3621.47,-4369.16,-4041.1,-5273.64,-4785.59,
700,-1231.56,-987.229,-702.282,-469.183,-945.839,-757.408,-803.993,-711.24,-1074.27,-939.106,-1285.54,-1118.96,-2865.78,-2677.86,-3079.51,-2984.73,-3029.75,-2756.05,-2633.7,-2483.29,-3057.66,-2928.05,-3352.41,-3345.01,-3346.12,-3324.3,-3448.21,-3380.47,-2568.6,-2297.62,-3308.8,-2987.71,-2503.59,-2438.79,-2283.17,-2116.62,-1582.41,-1357.08,-1650.17,-1447.39,-1439.38,-1218.37,-1929.91,-1763.93,-2080.05,-1879.44,-1817.97,-1597.16,-6193.6,-6082.17,-6889.46,-6264.53,-7864.33,-7057.49,-6306.62,-5622.25,-9458.11,-8347.37,-5653.72,-5076.76,-13558,-12387.8,-14551,-13213.8,-11229.3,-9133.95,-11269.4,-10749.7,-12118.7,-11165.1,-3898.06,-3555.76,-4668.03,-4210.36,-4269.73,-3880.45,-3624.84,-3431.88,-3969.16,-3586.4,-4358.83,-4082.75,-5433.71,-4715.84,
800,-1323.49,-972.119,-715.02,-465.088,-939.152,-797.683,-783.163,-677.863,-1097.49,-916.453,-1285.54,-1067.77,-2865.78,-2677.86,-3093.19,-2995.04,-3100.37,-2797.95,-2606.21,-2445.66,-3108.36,-2925.32,-3352.41,-3343.51,-3344.22,-3318.62,-3510.19,-3381.36,-2553.67,-2229.35,-3311.76,-3039.72,-2602.88,-2422.69,-2283.17,-2092.19,-1509.89,-1349.66,-1589.54,-1423.53,-1424.39,-1240.32,-1939.92,-1781.9,-2121.38,-1917.25,-1815,-1583.09,-6122.6,-6066.38,-6926.12,-6395.69,-8065.16,-7095.96,-6322.16,-5744.96,-9423.29,-8387.32,-5704.46,-4909.27,-13708.1,-12407,-14837.5,-13571.3,-10526.9,-8992,-11234.3,-10739.7,-12017.3,-11085.2,-3946.35,-3415.68,-4865.87,-4182.39,-4208.36,-3730.81,-3629.08,-3443.31,-3987.8,-3639.91,-4402.97,-4082.75,-5433.71,-4821.26,
900,-1219.11,-981.525,-747.916,-493.957,-939.152,-764.827,-783.163,-705.279,-1095.58,-925.937,-1278.61,-1097.8,-2852.46,-2716.74,-3162.99,-2988.68,-3045.95,-2832.56,-2613.95,-2469.89,-3135.5,-2942.21,-3198.8,-3189.9,-3352.26,-3318.62,-3378.02,-3363.73,-2600.1,-2327.26,-3328.45,-3014.67,-2589.71,-2441.69,-2283.17,-2124.35,-1543.62,-1316.34,-1685.94,-1495.67,-1399.46,-1253.7,-1931.68,-1778.54,-2106.96,-1917.25,-1806.14,-1612.51,-6134.34,-6054.17,-6881.84,-6341.43,-7881.89,-7010.68,-6275.19,-5690.53,-9394.4,-8413.32,-5655.66,-4994.75,-13669.1,-12367.4,-14470.5,-13375.2,-10791.3,-9512.02,-11234.3,-10704.3,-12014.4,-11145.7,-3981.65,-3510.14,-4778.77,-4060.71,-4175.08,-3657.57,-3629.08,-3443.31,-3992.05,-3630.42,-4368.75,-4095.55,-5220.8,-4666.9,
