"Pass","Start B2","End B2","Start B6","End B6","Start B4","End B4","Start B5","End B5","Start B3","End B3","Start B1","End B1","Start C12","End C12","Start C9","End C9","Start C11","End C11","Start C13","End C13","Start C10","End C10","Start C234","End C234","Start C56","End C56","Start C1","End C1","Start K1","End K1","Start C78","End C78","Start C14","End C14","Start K2","End K2","Start K7","End K7","Start K6","End K6","Start K8","End K8","Start K4","End K4","Start K3","End K3","Start K5","End K5","Start S6","End S6","Start S5","End S5","Start S4","End S4","Start S7","End S7","Start S3","End S3","Start S8","End S8","Start S1.1","End S1.1","Start S0","End S0","Start S2.2","End S2.2","Start S2.1","End S2.1","Start S1.2","End S1.2","Start Z6","End Z6","Start Z2","End Z2","Start Z4","End Z4","Start Z7","End Z7","Start Z5","End Z5","Start Z3","End Z3","Start Z1","End Z1",
0,-1244.27,-972.285,-763.295,-447.519,-960.768,-788.788,-805.954,-675.64,-1108.68,-922.139,-1249.49,-1079.98,-2887.83,-2749.62,-3178.92,-2996.03,-2994.44,-2785.1,-2584.3,-2440.97,-3078.84,-2952.81,-3349.04,-3331.06,-3345.92,-3312.52,-3684.88,-3458.18,-2621.67,-2223.2,-3297.02,-2997.72,-2581.06,-2480.63,-2253.51,-2120.08,-1571.83,-1320.05,-1663.29,-1492.98,-1442.73,-1271.58,-1962.14,-1739.77,-2097.52,-1862.36,-1819.87,-1585.29,-6167.02,-6038.23,-6920.63,-6227.76,-7809.45,-7070.78,-6229.56,-5676.53,-9404.4,-8348.63,-5591.39,-4940.11,-13790.8,-12353.8,-14424.3,-12795.8,-10775.5,-9171.86,-11163.7,-10586.6,-11911.9,-11082.5,-3947.92,-3546.82,-4716.8,-4171.99,-4156.52,-3737,-3624.87,-3475.79,-4011.71,-3608.03,-4393.1,-4078.51,-5289.82,-4786,
100,-1271.71,-976.753,-696.383,-432.02,-963.832,-782.813,-801.249,-678.68,-1115.26,-922.27,-1273.46,-1072.87,-2872.08,-2749.62,-3149.24,-2968.43,-3036.8,-2832.19,-2584.3,-2467.43,-3075.9,-2943.1,-3355.42,-3331.06,-3345.92,-3289.97,-3508.79,-3357.65,-2542.64,-2263.31,-3355.83,-3069.57,-2574.58,-2487.28,-2257.93,-2130.21,-1579.11,-1351.29,-1605.42,-1400.79,-1442.81,-1281.19,-1962.14,-1781.2,-2115.2,-1831.59,-1798.53,-1603.12,-6191.76,-6058.49,-6993.78,-6362.05,-7848.05,-7132.64,-6210.13,-5719.68,-9457.49,-8471.22,-5573.06,-5004.35,-13731.9,-12475.9,-14856.2,-13774.6,-11028.4,-9340.3,-11280.7,-10589.2,-11892.8,-10896.9,-3863.89,-3494.86,-4732.76,-4223.54,-4155.17,-3757.61,-3621.62,-3472.61,-3964.25,-3666.51,-4316.87,-4048.8,-5289.82,-4677.73,
200,-1231.8,-987.682,-742.44,-505.302,-963.832,-780.825,-805.279,-705.934,-1132.72,-916.967,-1277.67,-1109.47,-2872.84,-2749.75,-3124.11,-2994.37,-3076.09,-2736.23,-2584.3,-2479.27,-3077.24,-2941.7,-3356.29,-3328.5,-3340.46,-3278.38,-3483.51,-3377.82,-2588.01,-2262.36,-3332.47,-3047.37,-2584.07,-2510.31,-2245,-2120.99,-1563.07,-1348.02,-1670.32,-1517.05,-1438.02,-1291.27,-1939.74,-1790,-2116.92,-1883.76,-1798.53,-1565.79,-6209.75,-6075.6,-6938.03,-6416.62,-7879.87,-7173.8,-6321.62,-5683.08,-9457.15,-8503.49,-5675.34,-5019.21,-13584.4,-12238.1,-14796.2,-13216.7,-11000.2,-9338.04,-11268.6,-10635.8,-12065.8,-11134.8,-3958.71,-3467.47,-4822.17,-4226.89,-4217.3,-3600.42,-3609.03,-3468.78,-3942.65,-3577.87,-4335.94,-4029.63,-5301.91,-4677.73,
300,-1242.54,-976.279,-740.873,-468.739,-962.955,-780.825,-795.512,-736.938,-1121.97,-953.822,-1262.34,-1086.11,-2877.93,-2743.16,-3097.28,-2998.29,-3025.82,-2832.27,-2600.45,-2480.4,-3063.4,-2933.79,-3356.29,-3334.07,-3334.54,-3291.93,-3478.12,-3388.4,-2612.05,-2284.42,-3326.63,-3041.75,-2564.85,-2453.07,-2234.06,-2132.78,-1563.07,-1368.18,-1625.08,-1469.97,-1457.22,-1275.04,-1956.08,-1760.95,-2118.5,-1891.17,-1846.71,-1596.97,-6200.92,-6069.58,-6978.51,-6354.25,-7813.17,-7200.08,-6209.78,-5742.37,-9329.28,-8219.62,-5617.72,-4989.89,-13538.7,-12276.3,-14367.9,-13360.5,-10787.8,-9202.78,-11253.8,-10655.4,-12044.7,-11000.6,-3868.14,-3440.22,-4692.84,-4034.28,-4155.38,-3781.34,-3609.03,-3442.09,-3936.08,-3616.88,-4380.36,-4008.38,-5301.91,-4677.73,
400,-1250.52,-973.719,-751.987,-488.719,-956.665,-783.379,-794.103,-736.938,-1115.72,-916.304,-1300.96,-1086.11,-2877.93,-2743.16,-3132.37,-3026.17,-3028.71,-2773.81,-2600.45,-2487.96,-3063.4,-2936.4,-3370.18,-3334.07,-3143.81,-3106.36,-3516.1,-3364.28,-2532.39,-2211.39,-3371.67,-3068.24,-2640.26,-2462.9,-2234.06,-2119.06,-1580.58,-1321.66,-1638.62,-1471.14,-1409.03,-1258.03,-1923.03,-1779.89,-2136.97,-1879.86,-1802.04,-1622.26,-6234.54,-6071.84,-6860.32,-6348.92,-7898.03,-7042.72,-6251.69,-5742.37,-9332,-8293.41,-5622.68,-4963.13,-13762.4,-12418.1,-14503.6,-12772.8,-10812,-9502.93,-11266.1,-10641.9,-11997.1,-11078,-3874.13,-3465.54,-4851.72,-4064.87,-4218.83,-3733.26,-3604.4,-3450.04,-3966.88,-3583.24,-4368.09,-4084.48,-5335.41,-4840.88,
500,-1207.3,-964.759,-763.304,-521.932,-954.74,-784.182,-794.103,-740.725,-1108,-934.831,-1275.58,-1095.32,-2885.4,-2746.35,-3102.18,-3025.25,-3089.64,-2797.95,-2604.11,-2486.46,-3052.88,-2936.4,-3370.18,-3319.88,-3226.36,-3114.91,-3415.73,-3372.92,-2599.11,-2256.79,-3358.46,-3034.69,-2597.46,-2477.59,-2234.06,-2119.06,-1576.79,-1363.28,-1622.59,-1462.55,-1540.36,-1260.22,-2035.67,-1816.49,-2151.39,-1883.67,-1786.3,-1589,-6226.67,-6099.99,-6779.36,-6293.57,-7739.6,-7058.6,-6204.57,-5683.36,-9396.76,-8268.14,-5652.48,-5024.87,-13646.5,-12448.7,-15281.9,-13487.3,-10706.8,-8929.4,-11184.4,-10642.3,-11963.6,-11048.3,-3915.11,-3434.39,-4737.31,-4232.91,-4188.94,-3701.05,-3632.12,-3479.7,-3972.6,-3644.01,-4342.64,-4024.48,-5333.56,-4747.48,
600,-1210.9,-965.83,-751.906,-501.19,-949.488,-779.611,-794.103,-747.459,-1083.7,-914.939,-1272.51,-1102.97,-2885.4,-2750.19,-3096.27,-3024.5,-3036.97,-2818.31,-2604.11,-2472.23,-3069.43,-2933.98,-3363.15,-3327.37,-3238.53,-3123.72,-3526.93,-3350.19,-2564.28,-2225.67,-3308.54,-3064.89,-2576.24,-2444.49,-2253.86,-2124.84,-1562.02,-1352.67,-1655.78,-1485.64,-1445.84,-1222.55,-1980.97,-1770.44,-2114.48,-1811.86,-1771.5,-1576.04,-6218.62,-6062.61,-7040.76,-6401.05,-7725.09,-7139.34,-6391,-5663.56,-9338.76,-8385.61,-5585.27,-5062.76,-13627.7,-12338.2,-14459.2,-13094.6,-10853.8,-9293.2,-11184.4,-10584.1,-11967.2,-11048.3,-3950.62,-3476.51,-4981.78,-4050.94,-4180.71,-3707.12,-3579.75,-3439.15,-3964.3,-3580.2,-4420.56,-4057.19,-5333.56,-4734.93,
700,-1223.64,-964.294,-780.824,-493.806,-965.617,-773.242,-800.688,-737.202,-1053.09,-917.137,-1293.72,-1071.72,-2867.29,-2746.57,-3096.27,-3020.59,-3030.24,-2788.55,-2605.59,-2480.95,-3066.89,-2933.98,-3349.88,-3328.07,-3241.34,-3147.15,-3543.58,-3384.89,-2497.76,-2247.61,-3325.02,-3086.59,-2557.84,-2435.23,-2253.86,-2099.24,-1543.5,-1352.67,-1639.09,-1471.3,-1441.58,-1277.95,-1913.98,-1727.66,-2107.82,-1884.64,-1764.44,-1576.04,-6244.38,-6081.52,-6829.62,-6279.62,-7858.85,-7077.52,-6282.1,-5628.83,-9441.17,-8374.28,-5625.91,-4912.31,-13646.2,-12456.1,-14529.4,-13332,-10731.8,-9311.36,-11168.1,-10572.2,-11967.2,-11046.5,-3967.27,-3389.06,-4766.3,-4054.73,-4113.27,-3715.53,-3579.75,-3494.23,-3959.78,-3556.73,-4347.06,-4037.3,-5342.7,-4652.98,
800,-1218.84,-983.199,-735.058,-499.837,-957.134,-773.242,-800.052,-737.202,-1124.25,-923.042,-1266.72,-1071.72,-2867.29,-2746.57,-3102.27,-3020.59,-3030.24,-2810.63,-2605.59,-2480,-3036.55,-2932.45,-3349.88,-3328.07,-3198.05,-3143.88,-3467.04,-3339.22,-2548.84,-2231.35,-3352,-3051.88,-2558.3,-2447.43,-2283.58,-2111.11,-1539.65,-1309.79,-1630.36,-1471.3,-1451.2,-1250.84,-1908.63,-1738.02,-2123.24,-1811.98,-1825.28,-1600.54,-6222.28,-5989.55,-6878.42,-6384.26,-7981.3,-7230.61,-6284.71,-5635.98,-9478.78,-8559.14,-5644.09,-5026.09,-13607.7,-12313.1,-14672.6,-13433.3,-10850.6,-9468.11,-11180.8,-10604.6,-11958.1,-11105.5,-4008.71,-3554.58,-4749.88,-3965.7,-4192.36,-3700.18,-3636.53,-3470.36,-4022.93,-3614.44,-4384.16,-4053.29,-5284.29,-4675.42,
900,-1262.82,-966.919,-682.103,-433.683,-950.485,-812.806,-791.97,-742.599,-1147.59,-944.438,-1269.27,-1076.43,-2867.29,-2733.08,-3095.95,-3020.59,-3068.53,-2839.04,-2607.8,-2489.04,-3036.55,-2932.45,-3353.26,-3331.62,-3140.17,-3131.21,-3477.66,-3383.47,-2564.56,-2217.93,-3253.19,-3021.7,-2585.73,-2453.8,-2253.04,-2074,-1539.65,-1352.56,-1654.28,-1471.3,-1489.5,-1252.76,-1942.65,-1749.12,-2088.82,-1883.79,-1783.45,-1615.78,-6178.48,-6048.27,-6915.68,-6353.62,-8021.28,-7224.43,-6278.36,-5631.8,-9358.04,-8372.03,-5597.17,-4982.46,-13769.1,-12302.9,-14661.5,-13317.1,-10947.6,-9190,-11201.2,-10604.6,-11954.8,-10901.2,-3850.84,-3473.27,-4757.22,-4264.34,-4278.15,-3809.07,-3588.4,-3461,-3889.71,-3578.74,-4365.38,-4075.05,-5284.29,-4691.82,
1000,-1254.72,-965.667,-750.43,-419.851,-984.553,-797.391,-785.519,-742.599,-1099.41,-954.313,-1269.27,-1061.23,-2867.29,-2733.08,-3095.21,-3037.25,-3042.72,-2823.05,-2590.52,-2489.04,-3062.96,-2926.12,-3353.26,-3326.63,-3139.67,-3131.21,-3504.73,-3416.71,-2553.39,-2249.09,-3317.56,-3039.94,-2576.23,-2482.9,-2258.66,-2137.59,-1534.75,-1329.61,-1669.19,-1474.8,-1411.34,-1215.19,-1921.72,-1779.83,-2069.59,-1883.79,-1813.87,-1623.14,-6175.45,-6081.49,-6772.28,-6289.9,-7918.66,-7217.73,-6285.87,-5565.83,-9540.31,-8295.76,-5689.88,-5006.62,-13712.7,-12301.7,-14515.9,-13108,-10955.2,-9426.22,-11201.2,-10599.7,-12051.9,-11118.2,-3973.73,-3433.25,-4873.18,-4188.92,-4125.18,-3473.94,-3592.26,-3469.9,-3982.91,-3585.97,-4374.64,-4098.8,-5347.98,-4709.57,
1100,-1215.52,-966.095,-751.132,-500.574,-979.044,-761.807,-793.744,-742.599,-1075.14,-922.981,-1269.27,-1111.64,-2866.39,-2755.81,-3095.21,-3030.28,-3053.83,-2788.43,-2597.08,-2448.86,-3072.38,-2919.45,-3353.96,-3327.34,-3337.64,-3331.43,-3580.34,-3466.1,-2571.97,-2235.25,-3350.81,-3055.77,-2599.42,-2437.4,-2259.03,-2141.25,-1548.46,-1350.64,-1676.58,-1490.52,-1430.62,-1277.27,-1977.9,-1757.47,-2078.18,-1813.54,-1800.3,-1621,-6241.72,-6079.3,-6963.17,-6317.26,-7963.09,-7103.63,-6351.45,-5581.23,-9447.14,-8339.96,-5646.37,-5066.84,-13673.2,-12369.1,-14523.4,-13441.8,-10846.9,-9443.22,-11178.4,-10599.7,-11962.8,-11118.2,-3883.82,-3481.89,-4765.3,-4202.36,-4202.49,-3665.51,-3601.93,-3468.21,-3958.91,-3614.03,-4406.26,-4031.5,-5293.77,-4785.76,
1200,-1242.59,-984.78,-757.882,-472.366,-979.044,-782.076,-805.829,-742.599,-1116.51,-873.695,-1276.87,-1093.45,-2866.39,-2768.69,-3095.38,-3028.98,-2984.37,-2775.37,-2599.25,-2446.26,-3074.7,-2919.45,-3353.54,-3327.34,-3337.64,-3331.43,-3515.9,-3441.61,-2621.62,-2189.9,-3353.24,-3034.69,-2517.18,-2423.73,-2252.45,-2141.25,-1548.46,-1349.98,-1760.91,-1489.63,-1437.04,-1293.56,-1903.5,-1746.07,-2077.75,-1872.48,-1775.6,-1572.62,-6211.52,-6063.61,-6861.59,-6334.71,-8017.99,-7051.45,-6174.99,-5519.2,-9447.14,-8439.28,-5644.98,-4925.11,-13723.5,-12450.5,-14656.7,-13460.2,-11148.9,-9340.75,-11200.4,-10655.3,-12060.8,-11024.6,-3860.56,-3478.26,-4732.64,-4180.88,-4238.72,-3693.47,-3607.37,-3496.68,-3973.13,-3661.76,-4375.76,-4052.53,-5333.8,-4673.57,
