"Pass","Start B2","End B2","Start B6","End B6","Start B4","End B4","Start B5","End B5","Start B3","End B3","Start B1","End B1","Start C12","End C12","Start C9","End C9","Start C11","End C11","Start C13","End C13","Start C10","End C10","Start C234","End C234","Start C56","End C56","Start C1","End C1","Start K1","End K1","Start C78","End C78","Start C14","End C14","Start K2","End K2","Start K7","End K7","Start K6","End K6","Start K8","End K8","Start K4","End K4","Start K3","End K3","Start K5","End K5","Start S6","End S6","Start S5","End S5","Start S4","End S4","Start S7","End S7","Start S3","End S3","Start S8","End S8","Start S1.1","End S1.1","Start S0","End S0","Start S2.2","End S2.2","Start S2.1","End S2.1","Start S1.2","End S1.2","Start Z6","End Z6","Start Z2","End Z2","Start Z4","End Z4","Start Z7","End Z7","Start Z5","End Z5","Start Z3","End Z3","Start Z1","End Z1",
0,-1391.44,-826.379,-805.216,-357.27,-1200.48,-548.565,-864.193,-434.192,-1201.3,-802.095,-1405.87,-892.752,-2967.91,-2439.29,-3341.01,-2896.57,-3033.07,-2673.17,-2864.87,-2339.38,-3486.38,-2840.41,-3372.13,-3057.64,-3362.16,-3283.02,-3550.41,-3358.2,-2670.16,-2085.53,-3421.04,-2998.23,-2580.42,-2421.84,-2437.21,-2014.59,-1694.61,-1111.49,-1741.08,-1376.3,-1526.18,-1063.54,-2156.94,-1707.05,-2221.45,-1810.7,-1857.71,-1477.15,-6180.89,-6002.82,-7254.81,-6251.66,-8231.73,-6401.29,-6511.22,-4410.91,-10902,-7459.76,-5843.56,-4244.98,-14271.4,-11210.8,-15233.5,-13316.4,-11827.4,-9189.2,-12197,-10213.3,-12598.3,-10387.5,-4197.64,-3281.96,-4957.11,-3822.42,-4339.94,-3622.44,-3717.79,-3308.17,-4120.17,-3504.15,-4701.56,-3894.99,-5525.9,-4276.68,
100,-1386.43,-826.379,-805.216,-353.821,-1179.11,-548.565,-867.277,-470.072,-1221.75,-804.262,-1405.72,-892.6,-2970.24,-2439.29,-3318.96,-2893.66,-3033.07,-2669.01,-2877.81,-2343.1,-3390.96,-2839.48,-3377.04,-3305.42,-3359.89,-3280.09,-3538.81,-3374.58,-2655.47,-2055.99,-3380.78,-2971.34,-2594.47,-2260.57,-2421.8,-2014.59,-1635.73,-1180.98,-1729.47,-1411.79,-1540.36,-1040.05,-2129.73,-1687.46,-2212.53,-1811.86,-1874.9,-1479.66,-6190.39,-6049.33,-7113.37,-6239.28,-8295.66,-6392.34,-6509.1,-4341.13,-10856.4,-7485.66,-5844.43,-4256.27,-14317.9,-11210.8,-15117.7,-13226.2,-11844.5,-9235.11,-12209.5,-10386.3,-12599.5,-10384.4,-4186.24,-3227.85,-4930.74,-3772.79,-4619.78,-3607.96,-3715.85,-3316.22,-4127.06,-3520.46,-4670.2,-3907.08,-5525.9,-4276.68,
200,-1362.06,-865.045,-811.446,-353.122,-1188.21,-541.467,-864.432,-517.666,-1177.23,-804.262,-1405.72,-908.751,-2975.72,-2451.6,-3315.68,-2885.63,-3033.07,-2677.09,-2864.84,-2344.87,-3394.32,-2839.33,-3365.35,-3336.67,-3359.89,-3302.42,-3558.54,-3399.31,-2636.68,-2027.18,-3412.39,-2983.11,-2620.21,-2323.79,-2414.98,-2014.59,-1634.04,-1180.98,-1697.93,-1411.79,-1540.82,-1113.4,-2080.12,-1716.39,-2212.28,-1812.73,-1874.9,-1479.66,-6255.18,-6046.13,-7125.43,-6171.56,-8249.09,-6506.89,-6458.12,-4420.31,-10824.2,-7477.22,-5838.7,-4268.16,-14399.9,-11210.8,-15372.1,-13103.9,-11875.6,-9253.84,-12209.5,-10403.6,-12623.2,-10396.5,-4187.83,-3391.39,-4893.83,-3795.9,-4548.55,-3552.39,-3699.97,-3305.08,-4127.06,-3519.86,-4647.77,-3904.87,-5525.9,-4276.68,
300,-1377.93,-869.65,-828.326,-369.95,-1188.15,-517.786,-855.462,-527.78,-1177.23,-805.253,-1402.74,-905.514,-2975.72,-2455.63,-3325,-2885.63,-3033.07,-2655.1,-2860.72,-2365.98,-3412.97,-2847.98,-3365.35,-3336.67,-3359.13,-3302.42,-3536.41,-3376.57,-2627.08,-2086.87,-3392.97,-2931.97,-2608.48,-2323.45,-2420.43,-2029.9,-1657.12,-1106.93,-1694.77,-1409.72,-1523.83,-1118.76,-2068.71,-1712.06,-2212.28,-1811.91,-1874.55,-1488.02,-6166.47,-6044.03,-7073.28,-6294.73,-8249.09,-6506.89,-6606.12,-4353.97,-10824.2,-7477.22,-5918.76,-4268.16,-14380.1,-11093.9,-15208.5,-12472.4,-11821.6,-9047.87,-12158.9,-10403.6,-12627,-10396.5,-4163.74,-3383,-4863.34,-3807.28,-4428.73,-3578.07,-3690.88,-3306.51,-4162.51,-3527.44,-4640.74,-3905.24,-5525.9,-4276.68,
400,-1381.96,-836.091,-826.852,-364.693,-1108.95,-519.851,-842.51,-532.864,-1170.83,-805.253,-1402.74,-908.831,-2975.72,-2456.94,-3325,-2884.93,-3115.44,-2655.51,-2843.49,-2359.62,-3396.07,-2848.5,-3363.67,-3330.5,-3359.13,-3303.07,-3582.24,-3376.02,-2641.76,-2092.86,-3411.16,-2894.46,-2614.13,-2394.84,-2414.7,-1992.62,-1621.89,-1176.49,-1683.58,-1407.09,-1526.71,-1136.28,-2051.31,-1734.55,-2206.95,-1787.88,-1874.55,-1471.11,-6203.37,-6003.26,-7104.82,-6224.27,-8224.09,-6386.38,-6474.27,-4468.03,-10827.1,-7411.42,-5906.15,-4268.16,-14436.6,-11221.8,-15114.4,-13197,-11821.1,-9194.15,-12158.9,-10406,-12568.7,-10396.5,-4127.02,-3345.31,-4865.37,-3742.98,-4590.16,-3619.73,-3738.23,-3217.62,-4169.21,-3527.44,-4613.35,-3924.88,-5525.9,-4277.26,
500,-1365.56,-851.201,-826.852,-364.693,-1108.95,-533.565,-827.516,-524.707,-1170.83,-807.089,-1402.73,-913.71,-2965.24,-2452.61,-3321.07,-2878.55,-3115.44,-2653.48,-2843.49,-2357.83,-3387.23,-2852.88,-3366.47,-3330.5,-3359.13,-3303.07,-3389.91,-3360.97,-2661.37,-2072.42,-3379.8,-2905.08,-2602.18,-2406.99,-2415.25,-1992.62,-1617.95,-1196.44,-1687.89,-1407.09,-1547.23,-1138.3,-2052.72,-1733.92,-2206.95,-1787.2,-1860.81,-1475.4,-6195.86,-5998.1,-7214.13,-6213.09,-8314.64,-6467.74,-6509.18,-4456.09,-10849.7,-7469.83,-5818.55,-4249.67,-14388.4,-11203.6,-15096.6,-12961.8,-11824.8,-9222.53,-12155,-10371.8,-12540.9,-10488.5,-4192.78,-3339.99,-4985.07,-3864.44,-4376.53,-3578.23,-3695.68,-3302.22,-4087.24,-3536.88,-4576.49,-3901.35,-5525.9,-4311.84,
600,-1365.56,-836.842,-822.277,-347.286,-1102.05,-560.355,-829.024,-517.953,-1170.83,-812.298,-1407.69,-909.699,-2946.94,-2459.48,-3321.07,-2889.17,-3115.16,-2651.22,-2843.49,-2352.34,-3383.88,-2859.3,-3367.68,-3330.5,-3362.53,-3303.07,-3428.82,-3360.97,-2612.59,-2031.06,-3375.04,-2905.08,-2611.41,-2388.91,-2391.13,-1992.62,-1617.95,-1176.89,-1681.52,-1392.88,-1504.22,-1136.21,-2013.42,-1730.49,-2203.39,-1787.2,-1860.81,-1472.07,-6195.53,-6020.4,-7157.41,-6246.23,-8304.84,-6499.67,-6531.08,-4438.4,-10845.7,-7464.82,-5794.56,-4248.51,-14388.4,-11049.9,-15476.5,-13351.3,-11939.2,-9235.61,-12155,-10372,-12376.5,-10488.5,-4255.25,-3430.3,-4876.35,-3807.61,-4358.41,-3615,-3693.67,-3330.05,-4096.28,-3534.66,-4582.32,-3925.45,-5525.9,-4311.84,
700,-1365.56,-835.985,-822.215,-325.75,-1102.05,-581.793,-828.933,-518.879,-1178.56,-812.298,-1398.32,-908.335,-2934.49,-2493,-3300.67,-2905.69,-3109.58,-2658.21,-2843.49,-2347.05,-3383.88,-2848.34,-3367.68,-3330.49,-3361.51,-3303.07,-3412.76,-3358.65,-2612.59,-2044.17,-3364.6,-2940.78,-2730.5,-2265.08,-2379.97,-2006.31,-1617.95,-1185.46,-1677.46,-1387.63,-1504.22,-1178.56,-1994.65,-1734.24,-2194.98,-1784.85,-1850.95,-1472.07,-6286.89,-6017.33,-7158.54,-6211.47,-8320.42,-6704.9,-6573.07,-4459.94,-10845.7,-7447.83,-5836.72,-4238.84,-14370.2,-11238.3,-15170.6,-12972,-11734.2,-9211.19,-12248.3,-10402.5,-12378.5,-10441.4,-4237.65,-3402.43,-4855.6,-3805.16,-4302.9,-3600.07,-3691.18,-3311.69,-4102.05,-3532.82,-4611.57,-3931.25,-5525.9,-4311.84,
800,-1352.85,-842.914,-794.462,-330.278,-1101.05,-585.651,-827.099,-514.364,-1174.28,-812.298,-1400.1,-920.389,-2934.49,-2521.95,-3313.22,-2898.26,-3114.52,-2658.21,-2843.49,-2347.05,-3383.88,-2859.9,-3365.86,-3316.72,-3361.51,-3301.04,-3411.7,-3358.65,-2611.53,-2089.52,-3363.7,-2933.64,-2574.19,-2404.46,-2379.97,-2006.31,-1617.95,-1187.8,-1689.49,-1399.32,-1498.02,-1192.72,-1994.65,-1732.06,-2185,-1784.85,-1849.97,-1465.06,-6240.33,-6039.13,-7155.93,-6221.04,-8320.42,-6837.74,-6513.88,-4426.39,-10845.7,-7407.93,-5841.81,-4238.84,-14370.2,-11238.3,-15043.7,-13122.9,-11986.5,-9003.6,-12165,-10395.1,-12378.5,-10304.4,-4207.85,-3300.69,-4915.87,-3834.83,-4380.6,-3640.48,-3711.31,-3317.24,-4114.54,-3533.36,-4572.59,-3915.59,-5525.9,-4311.84,
900,-1350.64,-842.239,-806.385,-330.278,-1101.05,-585.651,-824.978,-511.771,-1170.19,-856.97,-1397.93,-923.645,-2933.18,-2511.99,-3313.22,-2898.26,-3100.79,-2690.92,-2771.11,-2347.05,-3399.7,-2859.92,-3375.37,-3324.4,-3362.33,-3301.04,-3423.81,-3353.82,-2623.95,-2092.15,-3368.32,-2959.44,-2523.17,-2420.1,-2378.5,-2006.31,-1617.95,-1187.8,-1689.49,-1398.07,-1503.2,-1172.24,-1993.75,-1732.06,-2230.05,-1788.01,-1851.67,-1471.58,-6256.34,-6020.65,-7053.64,-6201.44,-8383.29,-6849.56,-6459.83,-4250.79,-10845.7,-7469.15,-5841.81,-4238.84,-14374.5,-11177.2,-15443.5,-12778.2,-11978.6,-9173.67,-12182,-10384.5,-12304.1,-10424.6,-4295.52,-3354.67,-5026.1,-3795.16,-4413.43,-3557.55,-3664.95,-3317.24,-4171.96,-3532.59,-4574.7,-3900.71,-5525.9,-4311.84,
