"Pass","Start B2","End B2","Start B6","End B6","Start B4","End B4","Start B5","End B5","Start B3","End B3","Start B1","End B1","Start C12","End C12","Start C9","End C9","Start C11","End C11","Start C13","End C13","Start C10","End C10","Start C234","End C234","Start C56","End C56","Start C1","End C1","Start K1","End K1","Start C78","End C78","Start C14","End C14","Start K2","End K2","Start K7","End K7","Start K6","End K6","Start K8","End K8","Start K4","End K4","Start K3","End K3","Start K5","End K5","Start S6","End S6","Start S5","End S5","Start S4","End S4","Start S7","End S7","Start S3","End S3","Start S8","End S8","Start S1.1","End S1.1","Start S0","End S0","Start S2.2","End S2.2","Start S2.1","End S2.1","Start S1.2","End S1.2","Start Z6","End Z6","Start Z2","End Z2","Start Z4","End Z4","Start Z7","End Z7","Start Z5","End Z5","Start Z3","End Z3","Start Z1","End Z1",
0,-1392.11,-800.234,-811.02,-338.203,-1114.69,-581.048,-844.168,-468.848,-1169.84,-826.778,-1378.85,-972.462,-2905,-2597.27,-3337.16,-2903.48,-3188.4,-2661.37,-2835.28,-2307.22,-3331,-2852.22,-3369.97,-3308.66,-3391.45,-3173.9,-3498.07,-3320.14,-2647.83,-2016.33,-3469.75,-2964.11,-2652.5,-2331.14,-2366.45,-2013.75,-1607.06,-1262.66,-1644.38,-1412.14,-1473.39,-1161.69,-2024.22,-1696.72,-2254.69,-1731.57,-1903.25,-1487.78,-6213.59,-5993.52,-7149.5,-6034.35,-8108.38,-6750.76,-6500.36,-4363.2,-10834.9,-7478.34,-5754.17,-4321.2,-14411,-11854.2,-15123.6,-13418.8,-11859.8,-9170.94,-11584.8,-10338.4,-12456.9,-10483,-4280.83,-3462.47,-4993.74,-3904.6,-4348.56,-3624.42,-3715.62,-3335.38,-4224.68,-3501.78,-4461.35,-3955.28,-5549.22,-4213.46,
100,-1408.73,-810.918,-797.374,-347.142,-1105.05,-581.048,-838.691,-461.224,-1177.03,-826.778,-1375.23,-986.698,-2905,-2604.84,-3337.16,-2905.56,-3130.88,-2653.26,-2836.73,-2312.82,-3315.78,-2850.47,-3369.05,-3321.22,-3384.43,-3129.85,-3501.95,-3372.63,-2612.44,-2054.79,-3447.78,-2964.11,-2676.55,-2325.3,-2366.45,-2013.75,-1607.06,-1264.44,-1627.93,-1428.29,-1525.52,-1161.69,-2041.17,-1748.13,-2255.7,-1723.9,-1917.44,-1464.76,-6186.27,-5968.02,-7163.79,-6208.7,-8056.87,-6750.76,-6481.88,-4452.22,-10834.9,-7478.34,-5754.17,-4321.2,-14431.9,-11856.2,-15317.7,-13446.7,-11810.3,-9196.29,-11584.8,-10359.2,-12485.6,-10489,-4326.34,-3362.77,-5095.31,-3845.96,-4408.41,-3572.57,-3696.69,-3290.92,-4235.96,-3500.36,-4457.35,-3960.14,-5549.22,-4281.55,
200,-1391.65,-833.957,-834.222,-361.376,-1095.4,-581.048,-844.747,-482.17,-1190.36,-825.176,-1377.49,-990.448,-2905,-2602.66,-3307.39,-2905.56,-3133.51,-2676.34,-2836.73,-2319.37,-3311.23,-2855.64,-3366.98,-3321.22,-3376.4,-3129.85,-3444.68,-3361.68,-2613.27,-2006.49,-3408.04,-2952.33,-2639.95,-2402.55,-2344.41,-2013.75,-1595.85,-1266.56,-1629.87,-1437,-1505.04,-1170.22,-2060.22,-1748.13,-2265.99,-1712.55,-1911.69,-1465.99,-6209.08,-6036.7,-7105.87,-6230.63,-8056.87,-6742.28,-6435.99,-4399.43,-10873.1,-7478.34,-5755.39,-4321.2,-14339.8,-11782.7,-15192,-13009.4,-11818.5,-9115.33,-11584.8,-10405.4,-12495.2,-10490.3,-4304.64,-3421.87,-4911.56,-3871.28,-4344.78,-3621.83,-3665.7,-3359.01,-4222.5,-3542.17,-4457.35,-3988.19,-5549.22,-4281.55,
300,-1360.06,-842.906,-823.855,-361.376,-1074.75,-581.048,-859.425,-492.092,-1200.79,-819.629,-1384.01,-990.448,-2905,-2613.58,-3307.39,-2905.56,-3100.37,-2697.82,-2830.35,-2319.37,-3313.99,-2850.9,-3368.81,-3330.74,-3376.4,-3170.75,-3423.29,-3345.86,-2638.46,-2025.97,-3381.14,-2954.34,-2633.43,-2411.67,-2319.22,-2016.83,-1595.85,-1296.1,-1695.75,-1444.8,-1504.04,-1174.46,-2026.86,-1780.7,-2237.77,-1724.21,-1899.87,-1470.01,-6185.07,-6010.69,-7081.73,-6150.03,-8056.87,-6752.03,-6430.73,-4427.41,-10860,-7490.31,-5755.39,-4307.67,-14339.8,-11826.1,-15155.7,-12989.2,-11716.5,-9190.63,-11557.1,-10479,-12449.5,-10430.1,-4334.25,-3368.35,-4895.66,-3852.9,-4393.74,-3663.57,-3683.01,-3362.53,-4209.41,-3531.4,-4466.17,-4016.07,-5549.22,-4281.55,
400,-1357.89,-847.694,-825.69,-371.723,-1074.75,-581.09,-854.511,-542.495,-1234.25,-812.681,-1374.58,-992.65,-2902.68,-2611.44,-3307.39,-2908.96,-3103.28,-2697.82,-2826.96,-2331.43,-3267.99,-2843.37,-3369.33,-3330.74,-3365.33,-3181.42,-3428.83,-3353.95,-2674.67,-2040.03,-3374.85,-2962.21,-2628.57,-2415.56,-2319.22,-2016.83,-1594.27,-1296.1,-1680.16,-1444.8,-1516.04,-1220.25,-2040.58,-1780.7,-2199.69,-1743.97,-1857.42,-1472.13,-6154.96,-6000.1,-7061.07,-6194.11,-8265.68,-6737.65,-6430.73,-4425.29,-10868.8,-7490.13,-5759.57,-4309.75,-14321.2,-11838.7,-15210.2,-12572.9,-11762.1,-9271.81,-11557.1,-10481.3,-12385.1,-10480.9,-4290.53,-3302.53,-4893.29,-3859.56,-4473.18,-3612.23,-3669.37,-3362.53,-4212.47,-3538.56,-4460.04,-4016.07,-5549.22,-4301.52,
500,-1377.87,-847.694,-813.088,-377.122,-1074.75,-583.269,-835.746,-542.495,-1202.31,-812.681,-1374.58,-993.894,-2902.68,-2611.44,-3312.45,-2908.96,-3089,-2703.37,-2828.41,-2332.88,-3267.99,-2843.37,-3365.94,-3335.89,-3361.26,-3170.94,-3446.5,-3343.37,-2623.01,-2034.55,-3382.03,-2986.6,-2729.4,-2399.2,-2345.13,-2016.83,-1594.27,-1305.91,-1680.16,-1440.08,-1493.02,-1226.65,-2020.52,-1794.39,-2199.69,-1748.94,-1853.32,-1472.13,-6236.19,-5940.81,-7091.29,-6234.15,-8164.48,-6855.29,-6458.54,-4395.92,-10869.9,-7335.95,-5759.57,-4324.28,-14321.2,-11838.7,-15085.7,-13052.9,-11729,-9271.81,-11547.6,-10481.3,-12362,-10480.9,-4296.61,-3363.87,-4940.51,-3876.46,-4359.93,-3638.42,-3669.56,-3364.12,-4212.47,-3538.56,-4459.71,-4015.46,-5525.39,-4231.09,
600,-1339.55,-851.979,-836.987,-387.285,-1086.97,-584.336,-835.746,-566.55,-1193.96,-821.142,-1374.58,-986.041,-2902.68,-2619.04,-3320.37,-2905.68,-3055.28,-2703.37,-2752.19,-2332.88,-3263.04,-2841.43,-3365.94,-3335.89,-3381.11,-3141.43,-3450.97,-3331.74,-2642.93,-2090.75,-3382.03,-3027.73,-2644.9,-2437.89,-2345.13,-2007.98,-1589.86,-1301.49,-1667.17,-1408.66,-1515.07,-1227.77,-2022.92,-1794.39,-2199.69,-1739.84,-1855.09,-1452.47,-6183.13,-5980.97,-7183.96,-6126.06,-8032.51,-6878.64,-6477.55,-4418.19,-10881.3,-7479.58,-5784.31,-4324.28,-14321.2,-11803,-15271.9,-13094.6,-11724.3,-9263.9,-11526,-10497.9,-12349.3,-10458.7,-4365.98,-3382.11,-4873.79,-3936.23,-4408.05,-3680.55,-3669.56,-3343.16,-4197.64,-3538.56,-4461,-4016.76,-5506.83,-4231.09,
700,-1344.5,-873.948,-836.987,-387.285,-1069.27,-586.471,-832.499,-568.92,-1198.8,-827.547,-1374.58,-981.349,-2902.68,-2626.01,-3324.62,-2928.14,-3056.4,-2701.41,-2754.13,-2324.03,-3269.29,-2846,-3365.94,-3338.46,-3368.91,-3156.09,-3450.86,-3336.03,-2628.12,-2040.87,-3368.46,-3027.73,-2600.22,-2437.89,-2345.13,-2023.4,-1589.86,-1299.87,-1657.37,-1421.99,-1495.92,-1223.82,-2017.13,-1780.73,-2200.94,-1743.24,-1850.17,-1485.47,-6242.76,-5986.89,-7104.64,-6259.48,-8032.51,-6873.14,-6493.79,-4501.04,-10833.8,-7479.58,-5784.02,-4324.28,-14325.8,-12016.9,-15108.3,-13163.8,-11740.7,-9255.75,-11526,-10501.3,-12359.5,-10478,-4295.59,-3394.1,-4873.79,-3877.84,-4347.54,-3609.49,-3662.07,-3384.01,-4197.64,-3539.96,-4461,-4014.31,-5506.83,-4231.09,
800,-1344.5,-874.544,-819.81,-385.107,-1069.27,-586.471,-833.978,-565.844,-1198.8,-827.547,-1374.58,-981.349,-2902.68,-2626.01,-3268.81,-2925.97,-3093.63,-2659.49,-2728.47,-2300.14,-3269.29,-2842.31,-3365.6,-3339.39,-3364.93,-3165.42,-3419.15,-3339.11,-2617.74,-2040.56,-3400.55,-3020.86,-2600.22,-2397.44,-2334.1,-2030.48,-1611.86,-1300.56,-1654.04,-1426.14,-1489.61,-1225.7,-2024.74,-1780.73,-2159.84,-1760.82,-1863.93,-1477.36,-6159.93,-6015.23,-7072.15,-6190.88,-8062.87,-6873.14,-6468.97,-4470.69,-10833.8,-7479.58,-5758.1,-4324.28,-14325.8,-12016.9,-15113,-13214.1,-11810.3,-9255.75,-11526,-10501.3,-12350.7,-10478,-4302.93,-3396.18,-4874.82,-3826.69,-4407.64,-3648.45,-3656.24,-3378.13,-4166.84,-3533.52,-4461,-4009.3,-5496.35,-4195.37,
900,-1330.93,-870.334,-819.81,-385.107,-1062.39,-596.701,-828.864,-565.844,-1208.63,-840.827,-1374.58,-981.349,-2902.68,-2626.01,-3276.56,-2922.4,-3105.28,-2666.87,-2693.59,-2344.27,-3264.65,-2840.27,-3361.16,-3328.94,-3364.93,-3260.5,-3437.36,-3324.91,-2644.61,-2038.02,-3391.05,-3028.26,-2599.11,-2393.14,-2327.5,-2030.48,-1622.88,-1312.61,-1654.04,-1426.14,-1488.43,-1212.23,-2021.4,-1788.92,-2155.8,-1764.96,-1833.18,-1477.36,-6134.63,-6032.29,-6985.09,-6263.79,-8070.85,-6743.6,-6483.2,-4516.95,-10833.8,-7479.58,-5786.29,-4283.71,-14329.1,-12016.9,-15096.5,-12942.8,-11785.5,-9213.37,-11526,-10489.6,-12334.1,-10463,-4347.5,-3438.23,-4937.75,-3806.31,-4404.64,-3597.85,-3654.41,-3367.14,-4166.1,-3505.81,-4461,-4001.22,-5496.35,-4299.34,
